x	y	tot_dep-mol~ha~y
34997	772887	54.279
34997	777887	53.585
34997	782887	52.915
34997	787887	52.253
34997	792887	51.602
34997	797887	50.978
34997	802887	50.366
34997	807887	49.789
34997	812887	49.195
34997	817887	48.646
34997	822887	48.079
34997	827887	47.507
34997	832887	47.002
34997	837887	46.481
35000	422883	108.531
35010	842866	45.993
35182	378670	221.19
35388	398253	168.949
36074	426389	104.908
36196	846311	45.676
37072	394212	191.313
37326	403144	144.007
37332	413092	228.476
37718	771805	54.452
37759	406681	143.908
37821	384020	220.686
38142	409556	131.852
38177	416755	177.492
38643	411983	383.603
38704	395155	296.897
39072	775606	53.971
39233	380192	216.213
39327	420387	113.874
39327	425387	108.685
39327	780387	53.309
39327	785387	52.619
39327	790387	51.977
39327	795387	51.34
39327	800387	50.723
39327	805387	50.138
39327	810387	49.547
39327	815387	48.961
39327	820387	48.386
39327	825387	47.835
39327	830387	47.287
39327	835387	46.756
39327	840387	46.257
39327	845387	45.772
39518	415071	236.437
39598	402332	146.491
39671	376182	229.55
39917	404948	139.523
40251	428925	106.53
40323	849023	45.436
40767	409513	136.339
41136	413404	292.469
42569	380976	217.753
42891	417355	237.945
42896	778633	53.642
43374	396621	191.742
43502	403691	144.548
43539	419125	119.387
43555	377751	221.952
43658	407887	138.59
43658	422887	115.135
43658	427887	110.076
43658	782887	53.052
43658	787887	52.369
43658	792887	51.739
43658	797887	51.099
43658	802887	50.493
43658	807887	49.902
43658	812887	49.31
43658	817887	48.736
43658	822887	48.159
43658	827887	47.614
43658	832887	47.071
43658	837887	46.574
43658	842887	46.06
43658	847887	45.584
44055	374730	245.111
44505	411774	136.961
44544	432149	106.049
44982	360715	550.469
45019	359734	481.043
45274	360316	453.299
46539	781629	53.291
46661	417879	212.854
46725	417934	212.762
47228	849425	45.487
47368	420980	119.691
47511	413408	181.723
47683	396545	212.624
47726	425409	116.337
47840	410197	139.801
47864	785502	52.769
47982	375478	227.584
47988	405388	143.419
47988	430387	111.058
47988	790387	52.132
47988	795387	51.476
47988	800387	50.855
47988	805387	50.259
47988	810387	49.678
47988	815387	49.077
47988	820387	48.496
47988	825387	47.944
47988	830387	47.407
47988	835387	46.875
47988	840387	46.367
47988	845387	45.881
48146	435275	107.241
48359	378712	217.251
48815	417836	232.925
49091	419267	170.879
49320	402034	172.24
49353	439160	104.066
49786	422909	122.469
49808	425182	167.555
49918	396260	220.062
51003	374883	327.256
51059	407374	196.737
51226	846610	45.823
51374	424331	190.328
51705	788468	52.469
52066	428656	118.189
52318	402887	153.809
52318	432887	113.765
52318	437887	108.645
52318	792887	51.913
52318	797887	51.265
52318	802887	50.657
52318	807887	50.03
52318	812887	49.448
52318	817887	48.885
52318	822887	48.307
52318	827887	47.756
52318	832887	47.232
52318	837887	46.7
52318	842887	46.202
52341	377863	217.498
52554	426737	204.256
52634	418750	130.993
52658	422258	125.837
52679	397983	166.163
53068	442005	105.439
53467	385546	247.89
53606	382504	209.713
54315	393461	277.3
54679	428048	127.34
54962	392252	265.487
55153	376872	271.95
55254	843713	46.164
55397	791491	52.176
55648	427423	170.564
55997	440192	108.645
56071	404117	246.603
56314	380874	238.43
56393	400383	160.704
56472	384645	201.643
56496	430888	119.303
56555	840267	46.5
56625	795417	51.659
56642	428230	180.638
56648	420387	130.924
56648	435386	114.418
56648	800387	51.036
56648	805387	50.428
56648	810387	49.834
56648	815387	49.245
56648	820387	48.661
56648	825387	48.093
56648	830387	47.558
56648	835387	47.012
56708	395801	170.844
56786	423861	130.73
56863	444977	106.257
57321	428995	198.101
57618	416540	165.954
57915	373180	325.577
58575	389601	247.677
59083	410747	215.354
59445	795001	51.791
59491	373286	326.977
59544	840535	46.566
59975	389592	239.968
60007	390720	241.694
60038	427966	208.133
60097	422295	178.337
60112	378875	301.37
60167	445885	118.958
60188	397044	182.271
60196	428948	153.475
60406	382196	209.946
60506	798306	51.393
60588	432729	119.821
60642	837506	46.884
60719	403397	162.347
60846	417851	138.569
60978	802887	50.846
60978	807887	50.233
60978	812887	49.635
60978	817887	49.052
60978	822887	48.473
60978	827887	47.914
60978	832887	47.378
61068	436730	114.229
61180	445253	110.74
61367	413229	145.078
61378	393467	181.381
61907	378441	217.919
61944	429192	126.718
61952	406509	216.777
62282	426981	191.93
62345	425093	183.969
62495	434882	243.489
62544	433641	242.802
62558	445203	110.083
62989	437818	116.705
63002	435322	232.333
63109	388494	202.007
63304	436731	206.233
63357	430138	139.266
64270	801364	51.106
64290	430333	219.529
64332	436276	256.879
64416	428368	141.4
64547	429921	205.314
64731	834660	47.281
64784	413875	149.755
64953	379422	219.447
65024	393910	202.784
65240	404958	165.432
65308	805387	50.637
65308	810387	50.019
65308	815387	49.45
65308	820387	48.862
65308	825387	48.282
65308	830387	47.747
65311	390386	192.78
65331	411491	153.844
65394	425966	138.485
65581	438099	129.977
65714	427764	150.155
65777	376104	231.085
65993	386153	205.642
66808	402366	233.302
66809	409312	161.247
67625	445239	158.91
67990	804469	50.824
68496	412215	156.023
68747	410432	182.535
68789	831823	47.685
69013	392088	195.966
69184	408269	167.96
69306	808172	50.415
69323	426061	211.305
69366	447428	153.774
69395	384360	214.502
69404	402725	180.589
69638	387887	203.43
69638	812887	49.841
69638	817887	49.271
69638	822887	48.688
69638	827887	48.105
69658	373572	265.592
69692	377614	239.606
70003	423619	145.721
70368	444060	169.035
70582	410897	161.036
71270	408726	178
71272	391732	226.32
72002	406232	185.895
72193	372745	408.586
72270	443570	183.234
72655	389263	207.596
72752	829018	48.09
72833	385642	216.197
73023	372530	428.563
73115	811221	50.152
73122	379046	290.424
73191	375793	266.721
73352	451576	188.382
73374	409303	181.589
73513	373437	408.038
73546	423866	146.383
73901	390787	211.976
73959	825372	48.524
73968	815387	49.7
73968	820387	49.109
74192	406120	174.121
74370	387115	224.939
74386	453366	160.803
74505	421002	149.344
75232	388714	220.457
75648	385863	267.272
76009	454863	212.46
76633	422270	180.191
76751	814219	49.913
76870	454736	212.71
76892	826003	48.553
77316	386850	238.094
77317	456124	190.702
77450	405080	246.984
77564	423488	196.009
77572	384642	310.815
77889	604879	10.157
78102	818059	49.512
78135	822696	48.964
78263	407073	179.236
78364	417802	189.974
78848	607888	4.977
78888	612877	1.442
78925	617877	-2.431
78962	622877	-6.784
78998	627877	-24.818
79035	632877	-27.504
79072	637876	-30.312
79109	642876	-34.581
79321	415037	162.405
79422	646729	-40.836
79823	385182	377.475
80174	459217	173.626
80224	386935	448.271
81416	607184	9.519
81430	820584	49.32
81712	418342	190.219
81956	389204	479.305
82009	407225	180.016
82069	380169	494.836
82596	610440	4.448
82606	460578	210.076
82629	415451	166.047
82629	615387	0.37
82629	620387	-3.529
82629	625387	-21.598
82629	630387	-23.94
82629	635387	-26.447
82629	640387	-31.267
82629	645387	-36.624
82824	386021	589.098
82936	412969	226.496
83035	380362	448.847
83368	649297	-35.045
83539	375887	584.766
83621	409942	211.653
83756	429761	216.609
84065	380454	535.41
84284	464199	170.992
84771	376904	671.81
85086	381485	641.149
85096	387263	500.782
85119	382501	449.002
85172	374573	784.288
85297	409278	187.775
85515	411854	171.518
85651	463642	178.817
85671	609912	14.096
85722	414179	166.876
85749	416067	192.263
86249	377843	628.635
86826	466610	160.634
86872	613020	9.064
86959	617887	4.958
86959	622887	1.015
86959	627887	-16.291
86959	632887	-19.084
86959	637887	-22.244
86959	642887	-26.483
86959	647887	-32.188
87227	375381	564.028
87241	428475	200.924
87576	651972	-38.477
87989	470022	124.577
88001	413658	170.211
88422	375411	695.18
88620	471247	137.038
89026	471234	163.76
89926	612641	7.622
90514	428198	201.394
90925	413629	172.037
91120	615628	8.302
91248	427474	203.251
91289	620387	4.168
91289	625387	-13.587
91289	630387	-16.156
91289	635387	-18.916
91289	640387	-24.549
91289	645387	-29.76
91289	650387	-35.877
91542	414394	201.925
91600	476170	159.313
91791	654648	-33.832
91893	411815	204.202
93125	479472	162.946
93408	420452	206.118
94181	615369	6.825
94947	479328	173.541
95085	421220	185.476
95279	427268	210.409
95354	618263	12.797
95419	412093	198.507
95619	622887	8.254
95619	627887	-8.698
95619	632887	-10.888
95619	637887	-14.742
95619	642887	-19.701
95619	647887	-25.29
95619	652887	-30.573
95624	418795	185.123
95963	413478	240.907
96009	657325	-36.073
96057	482684	152.074
96680	486288	156.039
96950	413441	261.317
97304	519001	91.89
97429	458809	138.366
98163	458872	138.08
98281	481759	163.875
98345	522746	91.254
98362	492736	138.95
98459	532892	85.298
99106	414063	246.481
99225	485249	218.73
99413	412418	186.053
99591	620913	5.841
99843	490439	166.186
99949	625387	-12.13
99949	630387	-14.332
99949	635387	-18.203
99949	640387	-23.383
99949	645387	-29.102
99949	650387	-34.562
99949	655387	-40.913
99995	520553	90.618
100229	660001	-40.757
100356	535342	85.499
100400	494650	166.671
100439	530468	89.428
100457	525309	89.418
100615	413726	180.019
100682	540289	81.714
100955	545306	77.871
101169	550305	74.972
101225	501542	167.498
101388	662904	-39.911
101466	555040	71.407
101554	487860	192.387
101918	504914	125.882
102152	559866	69.772
102503	414087	184.529
102522	493475	210.15
102557	510269	122.309
102818	519199	95.685
102907	496015	192.384
103025	523031	92.004
103196	503706	215.523
103379	528040	94.38
103734	507851	181.223
103828	623564	9.614
103904	512288	160.857
104026	532994	91.98
104151	432664	173.077
104279	537887	88.485
104279	542887	84.507
104279	547887	80.485
104279	552887	76.022
104279	557887	72.934
104279	627887	-7.701
104279	632887	-9.566
104279	637887	-13.596
104279	642887	-18.93
104279	647887	-25.123
104279	652887	-31.981
104279	657887	-37.629
104444	662657	-42.07
104539	414741	187.766
104589	562803	69.974
104606	517913	156.8
105028	520910	180.795
105181	567613	67.503
105194	526002	154.95
105243	416985	283.187
105371	523189	174.518
105638	665679	-43.582
105704	528398	121.873
106072	571964	64.47
106529	532697	144.024
106571	529678	120.042
106702	535992	90.339
106772	532166	144.231
107051	524382	205.843
107072	534120	151.516
107102	520779	210.259
107386	540689	87.442
107596	522280	232.309
107909	545474	85.386
108051	560434	75.767
108062	626215	-3.927
108104	536292	144.439
108126	550463	82.399
108207	555358	77.111
108317	538176	155.129
108509	565418	71.79
108514	416137	211.939
108609	570387	67.846
108609	630387	-7.288
108609	635387	-10.833
108609	640387	-17.485
108609	645387	-23.726
108609	650387	-29.355
108609	655387	-35.52
108609	660387	-40.286
108681	665278	-45.87
109144	575055	63.355
109153	540823	130.142
109697	545207	102.214
109888	668455	-44.797
109990	419247	216.896
110072	562904	162.437
110090	547896	130.363
110109	552879	109.681
110137	557508	126.36
110250	552295	109.861
110267	550144	156.73
110305	560246	126.814
110385	579206	59.58
110529	555403	90.332
110723	424542	250.252
110860	564684	85.445
111028	563305	208.106
111052	551551	166.36
111403	450514	161.241
111591	557873	110.4
111723	568621	69.841
111914	563776	208.383
111978	451377	155.47
112294	628865	0.794
112410	433259	163.793
112664	459381	163.39
112822	554121	88.81
112863	566350	160.946
112871	422822	193.17
112871	572945	69.64
112901	417979	226.747
112940	577887	64.318
112940	632887	-4.233
112940	637887	-8.108
112940	642887	-13.137
112940	647887	-18.769
112940	652887	-25.314
112940	657887	-30.928
112940	662887	-35.139
112957	667858	-39.951
113112	448685	147.783
113128	568037	164.237
113284	556653	90.562
113476	414582	234.128
113620	497619	168.504
113701	495024	130.611
113701	582284	59.047
113729	500507	152.891
114138	671230	-45.957
114198	461869	144.048
114308	425422	242.721
114655	396429	469.381
114748	571340	84.264
114768	495255	135.123
114844	503519	153.165
115062	508513	122.279
115064	499615	174.891
115182	502975	132.102
115248	396070	360.04
115731	548007	108.776
115788	571234	128.58
115803	460949	142.595
116126	567889	117.382
116246	461884	143.323
116372	510059	123.399
116441	576072	65.432
116521	631516	-0.746
116542	566661	117.756
116947	580478	63.315
116978	504638	125.398
117046	499005	126.454
117094	415650	269.866
117158	424527	199.997
117226	418907	259.836
117235	503616	126.785
117270	555387	84.259
117270	635387	-5.554
117270	640387	-10.701
117270	645387	-16.641
117270	650387	-22.619
117270	655387	-28.543
117270	660387	-33.274
117270	665387	-38.622
117270	670387	-42.403
117375	585294	58.625
117398	550364	88.377
117466	463654	154.576
117588	501664	145.496
117738	574576	117.046
117926	559377	86.71
118160	546790	95.074
118316	673937	80.918
118655	589137	54.27
118689	498015	147.292
118713	497414	138.598
118794	418720	228.129
118826	509826	123.99
118968	573222	126.698
118969	496129	137.445
118989	416431	241.902
119025	577681	93.746
119064	579881	64.473
119223	463536	162.877
119450	577379	93.792
119516	576940	131.423
119622	509230	130.147
119636	422789	212.699
119684	563622	117.115
119734	502720	133.247
120141	425528	251.957
120165	418273	241.77
120402	511535	121.621
120532	564228	115.127
120533	497664	139.78
120625	503139	124.494
120739	634166	4.314
121073	421827	219.356
121117	583670	71.33
121129	545098	95.751
121315	496480	144.804
121598	547890	92.494
121600	552887	86.98
121600	557887	84.148
121600	587887	58.381
121600	637887	-0.59
121600	642887	-6.204
121600	647887	-11.895
121600	652887	-17.876
121600	657887	-23.126
121600	662887	-28.922
121600	667887	-33.683
121600	672887	-38.223
121646	494847	148.539
121727	568153	116.728
121757	578007	71.262
121907	497604	143.917
121984	562680	86.877
122297	581756	94.176
122352	592041	53.672
122484	676609	80.559
122488	439780	186.913
122850	573285	92.703
123043	440390	182.13
123072	567833	86.647
123384	494472	154.314
123385	473738	167.857
123876	474537	152.868
