name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.	conc.
190	1369	762644	0.1746E-01	0.1908E+00	0.2852E+00	0.4760E+00	0.4965E-02	0.9930E-03
190	731	757769	0.1765E-01	0.1938E+00	0.2849E+00	0.4787E+00	0.5031E-02	0.1006E-02
190	357	752887	0.1792E-01	0.1974E+00	0.2866E+00	0.4840E+00	0.5118E-02	0.1024E-02
190	356	747887	0.1828E-01	0.2022E+00	0.2900E+00	0.4923E+00	0.5223E-02	0.1045E-02
190	356	742887	0.1859E-01	0.2068E+00	0.2923E+00	0.4991E+00	0.5332E-02	0.1066E-02
190	356	737887	0.1897E-01	0.2124E+00	0.2957E+00	0.5081E+00	0.5457E-02	0.1091E-02
190	41	733157	0.1931E-01	0.2173E+00	0.2987E+00	0.5161E+00	0.5574E-02	0.1115E-02
190	-1291	729422	0.1943E-01	0.2195E+00	0.2989E+00	0.5184E+00	0.5636E-02	0.1127E-02
191	331	702076	0.2166E-01	0.2509E+00	0.3194E+00	0.5704E+00	0.6421E-02	0.1284E-02
191	356	697887	0.2209E-01	0.2567E+00	0.3233E+00	0.5800E+00	0.6560E-02	0.1312E-02
191	356	692887	0.2242E-01	0.2619E+00	0.3247E+00	0.5866E+00	0.6688E-02	0.1338E-02
191	356	687887	0.2293E-01	0.2691E+00	0.3292E+00	0.5983E+00	0.6868E-02	0.1374E-02
191	356	682887	0.2343E-01	0.2770E+00	0.3341E+00	0.6111E+00	0.7069E-02	0.1414E-02
191	356	677887	0.2390E-01	0.2846E+00	0.3371E+00	0.6217E+00	0.7259E-02	0.1452E-02
191	356	672887	0.2462E-01	0.2604E+00	0.3431E+00	0.6035E+00	0.7465E-02	0.1493E-02
191	356	667887	0.2501E-01	0.2632E+00	0.3451E+00	0.6083E+00	0.7443E-02	0.1489E-02
191	356	662887	0.2570E-01	0.2722E+00	0.3509E+00	0.6230E+00	0.7679E-02	0.1536E-02
191	356	657887	0.2586E-01	0.2745E+00	0.3500E+00	0.6245E+00	0.7707E-02	0.1541E-02
191	431	654767	0.2629E-01	0.2800E+00	0.3535E+00	0.6336E+00	0.7854E-02	0.1571E-02
159	1788	395449	0.1396E+00	0.1203E+01	0.5734E+00	0.1776E+01	0.2447E-01	0.1246E-01
159	1739	393617	0.1388E+00	0.1194E+01	0.5878E+00	0.1782E+01	0.2471E-01	0.1287E-01
190	6587	784792	0.1653E-01	0.1786E+00	0.2817E+00	0.4603E+00	0.4688E-02	0.9377E-03
190	5898	780094	0.1679E-01	0.1813E+00	0.2836E+00	0.4649E+00	0.4743E-02	0.9487E-03
190	5229	775224	0.1699E-01	0.1840E+00	0.2845E+00	0.4684E+00	0.4806E-02	0.9611E-03
190	4736	770381	0.1724E-01	0.1872E+00	0.2855E+00	0.4727E+00	0.4877E-02	0.9755E-03
190	4686	765387	0.1756E-01	0.1913E+00	0.2884E+00	0.4798E+00	0.4968E-02	0.9936E-03
190	4686	760387	0.1781E-01	0.1948E+00	0.2903E+00	0.4850E+00	0.5044E-02	0.1009E-02
190	4686	755387	0.1816E-01	0.1994E+00	0.2932E+00	0.4926E+00	0.5152E-02	0.1030E-02
190	4686	750387	0.1845E-01	0.2037E+00	0.2948E+00	0.4985E+00	0.5246E-02	0.1049E-02
190	4686	745387	0.1874E-01	0.2081E+00	0.2970E+00	0.5052E+00	0.5350E-02	0.1070E-02
190	4686	740387	0.1915E-01	0.2135E+00	0.3008E+00	0.5143E+00	0.5471E-02	0.1094E-02
190	3854	736202	0.1940E-01	0.2172E+00	0.3026E+00	0.5198E+00	0.5562E-02	0.1112E-02
191	4610	703102	0.2211E-01	0.2555E+00	0.3271E+00	0.5826E+00	0.6514E-02	0.1303E-02
191	4686	700387	0.2238E-01	0.2588E+00	0.3296E+00	0.5884E+00	0.6588E-02	0.1318E-02
191	4686	695387	0.2274E-01	0.2643E+00	0.3315E+00	0.5958E+00	0.6724E-02	0.1345E-02
191	4686	690387	0.2324E-01	0.2717E+00	0.3357E+00	0.6073E+00	0.6909E-02	0.1382E-02
191	4686	685387	0.2366E-01	0.2784E+00	0.3389E+00	0.6173E+00	0.7078E-02	0.1416E-02
191	4686	680387	0.2429E-01	0.2878E+00	0.3441E+00	0.6319E+00	0.7305E-02	0.1461E-02
191	4686	675387	0.2483E-01	0.2964E+00	0.3492E+00	0.6456E+00	0.7514E-02	0.1503E-02
191	4686	670387	0.2528E-01	0.2649E+00	0.3499E+00	0.6148E+00	0.7460E-02	0.1492E-02
191	4686	665387	0.2597E-01	0.2740E+00	0.3574E+00	0.6314E+00	0.7695E-02	0.1539E-02
191	4686	660387	0.2649E-01	0.2812E+00	0.3597E+00	0.6408E+00	0.7891E-02	0.1578E-02
191	4703	655817	0.2674E-01	0.2853E+00	0.3628E+00	0.6481E+00	0.7937E-02	0.1587E-02
159	6076	398315	0.1467E+00	0.1232E+01	0.6057E+00	0.1838E+01	0.2457E-01	0.1254E-01
