name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.1057E+00  0.1480E+02  0.4544E+01  0.1934E+02  0.6669E-02
190           226576  563508  0.1041E+00  0.1460E+02  0.4532E+01  0.1914E+02  0.6655E-02
190           226483  563561  0.1035E+00  0.1456E+02  0.4525E+01  0.1908E+02  0.6646E-02
190           226669  563561  0.1028E+00  0.1469E+02  0.4542E+01  0.1923E+02  0.6663E-02
190           226204  563615  0.1038E+00  0.1466E+02  0.4506E+01  0.1917E+02  0.6608E-02
190           226390  563615  0.1024E+00  0.1452E+02  0.4516E+01  0.1904E+02  0.6631E-02
190           226576  563615  0.1021E+00  0.1455E+02  0.4529E+01  0.1908E+02  0.6651E-02
190           226297  563669  0.1035E+00  0.1460E+02  0.4511E+01  0.1912E+02  0.6618E-02
190           226483  563669  0.1030E+00  0.1455E+02  0.4526E+01  0.1908E+02  0.6640E-02
190           226669  563669  0.1044E+00  0.1485E+02  0.4537E+01  0.1939E+02  0.6660E-02
190           226204  563723  0.1040E+00  0.1470E+02  0.4509E+01  0.1921E+02  0.6604E-02
190           226390  563723  0.1036E+00  0.1461E+02  0.4521E+01  0.1913E+02  0.6628E-02
190           226576  563723  0.1028E+00  0.1449E+02  0.4530E+01  0.1902E+02  0.6647E-02
190           226297  563776  0.1037E+00  0.1456E+02  0.4515E+01  0.1907E+02  0.6614E-02
190           226483  563776  0.1036E+00  0.1453E+02  0.4527E+01  0.1905E+02  0.6636E-02
190           226669  563776  0.1039E+00  0.1463E+02  0.4538E+01  0.1917E+02  0.6657E-02
190           226204  563830  0.1039E+00  0.1446E+02  0.4512E+01  0.1897E+02  0.6601E-02
190           226390  563830  0.1035E+00  0.1440E+02  0.4521E+01  0.1892E+02  0.6624E-02
190           226576  563830  0.1041E+00  0.1453E+02  0.4532E+01  0.1906E+02  0.6644E-02
190           226111  563884  0.1047E+00  0.1448E+02  0.4505E+01  0.1899E+02  0.6587E-02
190           226297  563884  0.1035E+00  0.1435E+02  0.4518E+01  0.1886E+02  0.6606E-02
190           226483  563884  0.1037E+00  0.1442E+02  0.4529E+01  0.1895E+02  0.6630E-02
190           226204  563938  0.1040E+00  0.1452E+02  0.4513E+01  0.1903E+02  0.6597E-02
190           226390  563938  0.1033E+00  0.1444E+02  0.4524E+01  0.1896E+02  0.6616E-02
190           226576  563938  0.1034E+00  0.1458E+02  0.4535E+01  0.1912E+02  0.6637E-02
190           226111  563991  0.1045E+00  0.1479E+02  0.4509E+01  0.1930E+02  0.6585E-02
190           226297  563991  0.1038E+00  0.1464E+02  0.4521E+01  0.1916E+02  0.6603E-02
190           226483  563991  0.1034E+00  0.1454E+02  0.4533E+01  0.1908E+02  0.6625E-02
190           226204  564045  0.1082E+00  0.2034E+02  0.4773E+01  0.2511E+02  0.5966E-02
204           226204  564045  0.1082E+00  0.2034E+02  0.4773E+01  0.2511E+02  0.5966E-02
190           226390  564045  0.1057E+00  0.2004E+02  0.4785E+01  0.2482E+02  0.5978E-02
190           226576  564045  0.1053E+00  0.2007E+02  0.4797E+01  0.2487E+02  0.5994E-02
190           226111  564099  0.1106E+00  0.2080E+02  0.4769E+01  0.2557E+02  0.5960E-02
204           226111  564099  0.1106E+00  0.2080E+02  0.4769E+01  0.2557E+02  0.5960E-02
190           226297  564099  0.1085E+00  0.2033E+02  0.4782E+01  0.2511E+02  0.5971E-02
204           226297  564099  0.1085E+00  0.2033E+02  0.4782E+01  0.2511E+02  0.5971E-02
190           226483  564099  0.1077E+00  0.2018E+02  0.4794E+01  0.2497E+02  0.5984E-02
190           226204  564152  0.1100E+00  0.2061E+02  0.4775E+01  0.2538E+02  0.5962E-02
204           226204  564152  0.1100E+00  0.2061E+02  0.4775E+01  0.2538E+02  0.5962E-02
190           226390  564152  0.1095E+00  0.2047E+02  0.4788E+01  0.2526E+02  0.5975E-02
190           226576  564152  0.1076E+00  0.2014E+02  0.4800E+01  0.2494E+02  0.5989E-02
190           226297  564206  0.1098E+00  0.2037E+02  0.4782E+01  0.2515E+02  0.5964E-02
 
