name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.3175E-01  0.4488E+01  0.3293E+01  0.7781E+01  0.5113E-02
190           226576  563508  0.3172E-01  0.4486E+01  0.3293E+01  0.7779E+01  0.5107E-02
190           226483  563561  0.3168E-01  0.4481E+01  0.3292E+01  0.7773E+01  0.5104E-02
190           226669  563561  0.3176E-01  0.4489E+01  0.3294E+01  0.7783E+01  0.5111E-02
190           226204  563615  0.3159E-01  0.4472E+01  0.3289E+01  0.7761E+01  0.5092E-02
190           226390  563615  0.3164E-01  0.4477E+01  0.3290E+01  0.7767E+01  0.5099E-02
190           226576  563615  0.3172E-01  0.4485E+01  0.3292E+01  0.7777E+01  0.5106E-02
190           226297  563669  0.3162E-01  0.4475E+01  0.3290E+01  0.7765E+01  0.5095E-02
190           226483  563669  0.3169E-01  0.4482E+01  0.3292E+01  0.7774E+01  0.5103E-02
190           226669  563669  0.3176E-01  0.4489E+01  0.3293E+01  0.7782E+01  0.5109E-02
190           226204  563723  0.3159E-01  0.4472E+01  0.3289E+01  0.7761E+01  0.5090E-02
190           226390  563723  0.3165E-01  0.4479E+01  0.3291E+01  0.7770E+01  0.5099E-02
190           226576  563723  0.3173E-01  0.4486E+01  0.3293E+01  0.7779E+01  0.5104E-02
190           226297  563776  0.3162E-01  0.4474E+01  0.3289E+01  0.7764E+01  0.5093E-02
190           226483  563776  0.3169E-01  0.4482E+01  0.3292E+01  0.7774E+01  0.5101E-02
190           226669  563776  0.3178E-01  0.4490E+01  0.3293E+01  0.7784E+01  0.5109E-02
190           226204  563830  0.3158E-01  0.4470E+01  0.3289E+01  0.7759E+01  0.5088E-02
190           226390  563830  0.3165E-01  0.4478E+01  0.3291E+01  0.7769E+01  0.5096E-02
190           226576  563830  0.3174E-01  0.4486E+01  0.3292E+01  0.7779E+01  0.5103E-02
190           226111  563884  0.3156E-01  0.4469E+01  0.3287E+01  0.7756E+01  0.5083E-02
190           226297  563884  0.3162E-01  0.4475E+01  0.3290E+01  0.7764E+01  0.5090E-02
190           226483  563884  0.3170E-01  0.4483E+01  0.3292E+01  0.7775E+01  0.5099E-02
190           226204  563938  0.3159E-01  0.4471E+01  0.3288E+01  0.7758E+01  0.5087E-02
190           226390  563938  0.3166E-01  0.4478E+01  0.3291E+01  0.7768E+01  0.5094E-02
190           226576  563938  0.3174E-01  0.4486E+01  0.3293E+01  0.7779E+01  0.5101E-02
190           226111  563991  0.3156E-01  0.4468E+01  0.3286E+01  0.7754E+01  0.5082E-02
190           226297  563991  0.3163E-01  0.4473E+01  0.3289E+01  0.7762E+01  0.5089E-02
190           226483  563991  0.3171E-01  0.4483E+01  0.3292E+01  0.7776E+01  0.5097E-02
190           226204  564045  0.3201E-01  0.6018E+01  0.3481E+01  0.9499E+01  0.4839E-02
204           226204  564045  0.3201E-01  0.6018E+01  0.3481E+01  0.9499E+01  0.4839E-02
190           226390  564045  0.3208E-01  0.6026E+01  0.3485E+01  0.9512E+01  0.4843E-02
190           226576  564045  0.3216E-01  0.6038E+01  0.3488E+01  0.9526E+01  0.4848E-02
190           226111  564099  0.3199E-01  0.6014E+01  0.3481E+01  0.9495E+01  0.4837E-02
204           226111  564099  0.3199E-01  0.6014E+01  0.3481E+01  0.9495E+01  0.4837E-02
190           226297  564099  0.3205E-01  0.6023E+01  0.3483E+01  0.9506E+01  0.4840E-02
204           226297  564099  0.3205E-01  0.6023E+01  0.3483E+01  0.9506E+01  0.4840E-02
190           226483  564099  0.3212E-01  0.6033E+01  0.3487E+01  0.9520E+01  0.4845E-02
190           226204  564152  0.3202E-01  0.6018E+01  0.3482E+01  0.9500E+01  0.4837E-02
204           226204  564152  0.3202E-01  0.6018E+01  0.3482E+01  0.9500E+01  0.4837E-02
190           226390  564152  0.3208E-01  0.6027E+01  0.3485E+01  0.9512E+01  0.4841E-02
190           226576  564152  0.3217E-01  0.6039E+01  0.3488E+01  0.9527E+01  0.4846E-02
190           226297  564206  0.3205E-01  0.6022E+01  0.3483E+01  0.9505E+01  0.4836E-02
 
