name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.1147E-01  0.1864E+01  0.1737E+01  0.3601E+01  0.1643E-02
190           226576  563508  0.1149E-01  0.1868E+01  0.1740E+01  0.3607E+01  0.1643E-02
190           226483  563561  0.1151E-01  0.1871E+01  0.1742E+01  0.3613E+01  0.1643E-02
190           226669  563561  0.1147E-01  0.1864E+01  0.1737E+01  0.3601E+01  0.1642E-02
190           226204  563615  0.1157E-01  0.1881E+01  0.1750E+01  0.3631E+01  0.1645E-02
190           226390  563615  0.1153E-01  0.1874E+01  0.1744E+01  0.3618E+01  0.1643E-02
190           226576  563615  0.1149E-01  0.1867E+01  0.1740E+01  0.3607E+01  0.1642E-02
190           226297  563669  0.1155E-01  0.1878E+01  0.1747E+01  0.3625E+01  0.1644E-02
190           226483  563669  0.1151E-01  0.1871E+01  0.1742E+01  0.3613E+01  0.1643E-02
190           226669  563669  0.1147E-01  0.1864E+01  0.1737E+01  0.3601E+01  0.1641E-02
190           226204  563723  0.1157E-01  0.1881E+01  0.1750E+01  0.3631E+01  0.1645E-02
190           226390  563723  0.1153E-01  0.1874E+01  0.1745E+01  0.3619E+01  0.1643E-02
190           226576  563723  0.1149E-01  0.1868E+01  0.1740E+01  0.3607E+01  0.1642E-02
190           226297  563776  0.1155E-01  0.1878E+01  0.1747E+01  0.3625E+01  0.1644E-02
190           226483  563776  0.1151E-01  0.1871E+01  0.1742E+01  0.3614E+01  0.1642E-02
190           226669  563776  0.1148E-01  0.1865E+01  0.1737E+01  0.3602E+01  0.1641E-02
190           226204  563830  0.1157E-01  0.1881E+01  0.1750E+01  0.3631E+01  0.1644E-02
190           226390  563830  0.1153E-01  0.1874E+01  0.1745E+01  0.3619E+01  0.1642E-02
190           226576  563830  0.1149E-01  0.1868E+01  0.1740E+01  0.3607E+01  0.1641E-02
190           226111  563884  0.1159E-01  0.1885E+01  0.1753E+01  0.3638E+01  0.1644E-02
190           226297  563884  0.1155E-01  0.1879E+01  0.1748E+01  0.3626E+01  0.1643E-02
190           226483  563884  0.1152E-01  0.1872E+01  0.1743E+01  0.3615E+01  0.1641E-02
190           226204  563938  0.1157E-01  0.1882E+01  0.1750E+01  0.3631E+01  0.1643E-02
190           226390  563938  0.1153E-01  0.1874E+01  0.1744E+01  0.3619E+01  0.1642E-02
190           226576  563938  0.1149E-01  0.1868E+01  0.1740E+01  0.3607E+01  0.1640E-02
190           226111  563991  0.1159E-01  0.1885E+01  0.1752E+01  0.3638E+01  0.1643E-02
190           226297  563991  0.1155E-01  0.1879E+01  0.1747E+01  0.3626E+01  0.1642E-02
190           226483  563991  0.1152E-01  0.1872E+01  0.1742E+01  0.3615E+01  0.1640E-02
190           226204  564045  0.1158E-01  0.2494E+01  0.1878E+01  0.4372E+01  0.1612E-02
204           226204  564045  0.1158E-01  0.2494E+01  0.1878E+01  0.4372E+01  0.1612E-02
190           226390  564045  0.1154E-01  0.2485E+01  0.1872E+01  0.4358E+01  0.1610E-02
190           226576  564045  0.1151E-01  0.2477E+01  0.1867E+01  0.4344E+01  0.1609E-02
190           226111  564099  0.1160E-01  0.2499E+01  0.1881E+01  0.4380E+01  0.1612E-02
204           226111  564099  0.1160E-01  0.2499E+01  0.1881E+01  0.4380E+01  0.1612E-02
190           226297  564099  0.1156E-01  0.2490E+01  0.1875E+01  0.4366E+01  0.1611E-02
204           226297  564099  0.1156E-01  0.2490E+01  0.1875E+01  0.4366E+01  0.1611E-02
190           226483  564099  0.1153E-01  0.2482E+01  0.1870E+01  0.4352E+01  0.1609E-02
190           226204  564152  0.1158E-01  0.2495E+01  0.1878E+01  0.4373E+01  0.1611E-02
204           226204  564152  0.1158E-01  0.2495E+01  0.1878E+01  0.4373E+01  0.1611E-02
190           226390  564152  0.1155E-01  0.2485E+01  0.1872E+01  0.4358E+01  0.1609E-02
190           226576  564152  0.1151E-01  0.2477E+01  0.1867E+01  0.4344E+01  0.1608E-02
190           226297  564206  0.1157E-01  0.2491E+01  0.1876E+01  0.4367E+01  0.1610E-02
 
