name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.3295E-01  0.4236E+01  0.2890E+01  0.7127E+01  0.1012E-01
190           226576  563508  0.3293E-01  0.4236E+01  0.2891E+01  0.7127E+01  0.1011E-01
190           226483  563561  0.3290E-01  0.4234E+01  0.2890E+01  0.7124E+01  0.1010E-01
190           226669  563561  0.3290E-01  0.4231E+01  0.2888E+01  0.7119E+01  0.1010E-01
190           226204  563615  0.3289E-01  0.4236E+01  0.2892E+01  0.7128E+01  0.1008E-01
190           226390  563615  0.3287E-01  0.4233E+01  0.2890E+01  0.7123E+01  0.1008E-01
190           226576  563615  0.3286E-01  0.4229E+01  0.2888E+01  0.7117E+01  0.1009E-01
190           226297  563669  0.3286E-01  0.4231E+01  0.2889E+01  0.7121E+01  0.1007E-01
190           226483  563669  0.3283E-01  0.4227E+01  0.2887E+01  0.7114E+01  0.1008E-01
190           226669  563669  0.3284E-01  0.4224E+01  0.2884E+01  0.7108E+01  0.1009E-01
190           226204  563723  0.3283E-01  0.4229E+01  0.2889E+01  0.7118E+01  0.1007E-01
190           226390  563723  0.3281E-01  0.4226E+01  0.2887E+01  0.7113E+01  0.1007E-01
190           226576  563723  0.3281E-01  0.4224E+01  0.2885E+01  0.7108E+01  0.1008E-01
190           226297  563776  0.3281E-01  0.4225E+01  0.2887E+01  0.7112E+01  0.1006E-01
190           226483  563776  0.3278E-01  0.4221E+01  0.2884E+01  0.7105E+01  0.1006E-01
190           226669  563776  0.3279E-01  0.4219E+01  0.2882E+01  0.7101E+01  0.1007E-01
190           226204  563830  0.3277E-01  0.4223E+01  0.2886E+01  0.7109E+01  0.1005E-01
190           226390  563830  0.3275E-01  0.4220E+01  0.2884E+01  0.7103E+01  0.1005E-01
190           226576  563830  0.3276E-01  0.4218E+01  0.2882E+01  0.7100E+01  0.1006E-01
190           226111  563884  0.3277E-01  0.4225E+01  0.2886E+01  0.7111E+01  0.1004E-01
190           226297  563884  0.3276E-01  0.4221E+01  0.2884E+01  0.7105E+01  0.1004E-01
190           226483  563884  0.3273E-01  0.4217E+01  0.2881E+01  0.7098E+01  0.1005E-01
190           226204  563938  0.3271E-01  0.4217E+01  0.2883E+01  0.7100E+01  0.1003E-01
190           226390  563938  0.3270E-01  0.4214E+01  0.2880E+01  0.7095E+01  0.1003E-01
190           226576  563938  0.3270E-01  0.4213E+01  0.2879E+01  0.7092E+01  0.1004E-01
190           226111  563991  0.3272E-01  0.4218E+01  0.2884E+01  0.7102E+01  0.1002E-01
190           226297  563991  0.3270E-01  0.4215E+01  0.2881E+01  0.7096E+01  0.1003E-01
190           226483  563991  0.3269E-01  0.4213E+01  0.2880E+01  0.7093E+01  0.1003E-01
190           226204  564045  0.3763E-01  0.7389E+01  0.3147E+01  0.1054E+02  0.1007E-01
204           226204  564045  0.3763E-01  0.7389E+01  0.3147E+01  0.1054E+02  0.1007E-01
190           226390  564045  0.3762E-01  0.7384E+01  0.3145E+01  0.1053E+02  0.1007E-01
190           226576  564045  0.3764E-01  0.7384E+01  0.3144E+01  0.1053E+02  0.1008E-01
190           226111  564099  0.3762E-01  0.7386E+01  0.3147E+01  0.1053E+02  0.1007E-01
204           226111  564099  0.3762E-01  0.7386E+01  0.3147E+01  0.1053E+02  0.1007E-01
190           226297  564099  0.3761E-01  0.7384E+01  0.3146E+01  0.1053E+02  0.1007E-01
204           226297  564099  0.3761E-01  0.7384E+01  0.3146E+01  0.1053E+02  0.1007E-01
190           226483  564099  0.3760E-01  0.7380E+01  0.3143E+01  0.1052E+02  0.1007E-01
190           226204  564152  0.3757E-01  0.7377E+01  0.3148E+01  0.1052E+02  0.1006E-01
204           226204  564152  0.3757E-01  0.7377E+01  0.3148E+01  0.1052E+02  0.1006E-01
190           226390  564152  0.3755E-01  0.7371E+01  0.3141E+01  0.1051E+02  0.1006E-01
190           226576  564152  0.3757E-01  0.7371E+01  0.3140E+01  0.1051E+02  0.1006E-01
190           226297  564206  0.3754E-01  0.7371E+01  0.3146E+01  0.1052E+02  0.1005E-01
 
