name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.
191	356	657887	0.8140E-07	0.8565E-05	0.7350E-03	0.7436E-03	0.4706E-05
191	431	654767	0.8862E-07	0.7529E-05	0.7534E-03	0.7609E-03	0.4848E-05
159	1788	395449	0.2796E-04	-0.7116E-03	0.2198E-02	0.1487E-02	0.2204E-04
159	1739	393617	0.2765E-04	-0.4868E-03	0.2205E-02	0.1718E-02	0.2174E-04
190	6587	784792	0.3995E-08	0.2843E-04	0.3840E-03	0.4124E-03	0.2284E-05
190	5898	780094	0.4359E-08	0.2918E-04	0.3948E-03	0.4240E-03	0.2324E-05
190	5229	775224	0.4533E-08	0.2996E-04	0.4073E-03	0.4373E-03	0.2364E-05
190	4736	770381	0.5416E-08	0.3017E-04	0.4113E-03	0.4415E-03	0.2375E-05
190	4686	765387	0.5270E-08	0.3090E-04	0.4103E-03	0.4412E-03	0.2374E-05
190	4686	760387	0.6110E-08	0.3214E-04	0.4234E-03	0.4556E-03	0.2431E-05
190	4686	755387	0.6922E-08	0.3321E-04	0.4384E-03	0.4716E-03	0.2498E-05
190	4686	750387	0.7878E-08	0.3431E-04	0.4529E-03	0.4872E-03	0.2558E-05
190	4686	745387	0.9301E-08	0.3544E-04	0.4693E-03	0.5047E-03	0.2627E-05
190	4686	740387	0.1052E-07	0.3587E-04	0.4744E-03	0.5103E-03	0.2652E-05
190	3854	736202	0.1156E-07	0.3685E-04	0.4873E-03	0.5241E-03	0.2708E-05
191	4610	703102	0.2929E-07	0.5447E-04	0.6040E-03	0.6585E-03	0.3352E-05
191	4686	700387	0.3134E-07	0.5642E-04	0.6153E-03	0.6718E-03	0.3427E-05
191	4686	695387	0.3606E-07	0.5901E-04	0.6236E-03	0.6826E-03	0.3513E-05
191	4686	690387	0.4068E-07	0.6299E-04	0.6454E-03	0.7084E-03	0.3660E-05
191	4686	685387	0.4621E-07	0.6731E-04	0.6683E-03	0.7356E-03	0.3816E-05
191	4686	680387	0.5374E-07	0.7245E-04	0.6943E-03	0.7668E-03	0.3997E-05
191	4686	675387	0.6011E-07	0.7577E-04	0.7030E-03	0.7787E-03	0.4101E-05
191	4686	670387	0.1011E-06	-0.6714E-04	0.7276E-03	0.6605E-03	0.4264E-05
191	4686	665387	0.1141E-06	-0.7639E-04	0.7581E-03	0.6817E-03	0.4480E-05
191	4686	660387	0.8330E-07	0.3487E-05	0.7455E-03	0.7490E-03	0.4732E-05
191	4703	655817	0.9491E-07	-0.1555E-05	0.7725E-03	0.7709E-03	0.4940E-05
159	6076	398315	0.3094E-04	-0.8849E-03	0.2427E-02	0.1542E-02	0.2135E-04
159	4829	395187	0.2954E-04	-0.6216E-03	0.2332E-02	0.1711E-02	0.2130E-04
159	5252	391155	0.2877E-04	-0.8310E-04	0.2343E-02	0.2260E-02	0.2063E-04
190	11196	802308	0.2733E-08	0.2646E-04	0.3553E-03	0.3817E-03	0.2166E-05
190	10446	797499	0.3015E-08	0.2716E-04	0.3669E-03	0.3940E-03	0.2214E-05
190	9753	792686	0.3478E-08	0.2788E-04	0.3776E-03	0.4055E-03	0.2254E-05
190	9181	787844	0.3846E-08	0.2863E-04	0.3857E-03	0.4144E-03	0.2295E-05
190	9017	782887	0.4415E-08	0.2944E-04	0.3972E-03	0.4267E-03	0.2337E-05
190	9017	777887	0.4891E-08	0.2963E-04	0.4014E-03	0.4310E-03	0.2343E-05
190	9017	772887	0.5877E-08	0.3061E-04	0.4146E-03	0.4452E-03	0.2418E-05
190	9017	767887	0.6799E-08	0.3153E-04	0.4280E-03	0.4596E-03	0.2466E-05
190	9017	762887	0.6698E-08	0.3257E-04	0.4275E-03	0.4601E-03	0.2467E-05
190	9017	757887	0.7574E-08	0.3361E-04	0.4410E-03	0.4746E-03	0.2522E-05
190	9017	752887	0.8501E-08	0.3474E-04	0.4571E-03	0.4918E-03	0.2592E-05
190	9017	747887	0.9772E-08	0.3515E-04	0.4636E-03	0.4988E-03	0.2620E-05
190	8836	743046	0.1136E-07	0.3627E-04	0.4783E-03	0.5146E-03	0.2679E-05
190	7490	739197	0.1212E-07	0.3712E-04	0.4900E-03	0.5271E-03	0.2727E-05
191	8982	701934	0.3461E-07	0.5732E-04	0.6262E-03	0.6835E-03	0.3462E-05
191	9017	697887	0.3824E-07	0.5921E-04	0.6310E-03	0.6902E-03	0.3524E-05
191	9017	692887	0.4378E-07	0.6322E-04	0.6525E-03	0.7158E-03	0.3669E-05
191	9017	687887	0.4916E-07	0.6754E-04	0.6757E-03	0.7432E-03	0.3826E-05
191	9017	682887	0.5716E-07	0.7274E-04	0.7024E-03	0.7751E-03	0.4008E-05
191	9017	677887	0.6404E-07	0.7613E-04	0.7116E-03	0.7877E-03	0.4114E-05
191	9017	672887	0.1065E-06	-0.7079E-04	0.7365E-03	0.6657E-03	0.4279E-05
191	9017	667887	0.1211E-06	-0.8121E-04	0.7664E-03	0.6852E-03	0.4491E-05
191	9017	662887	0.1386E-06	-0.9497E-04	0.7964E-03	0.7015E-03	0.4699E-05
191	9017	657887	0.1547E-06	-0.1064E-03	0.8087E-03	0.7022E-03	0.4830E-05
191	9083	654534	0.1698E-06	-0.1128E-03	0.8302E-03	0.7174E-03	0.4975E-05
162	10368	401463	0.3459E-04	-0.1100E-03	0.2775E-02	0.2665E-02	0.2069E-04
159	8258	397105	0.3195E-04	-0.6945E-03	0.2558E-02	0.1864E-02	0.2067E-04
162	9920	398644	0.3326E-04	-0.8009E-03	0.2677E-02	0.1876E-02	0.2057E-04
