x	y	tot_dep-mol~ha~y
34997	417887	7.304
34997	772887	9.711
34997	777887	9.31
34997	782887	8.929
34997	787887	8.559
34997	792887	8.213
34997	797887	7.873
34997	802887	7.546
34997	807887	7.24
34997	812887	6.946
34997	817887	6.661
34997	822887	6.4023
34997	827887	6.1498
34997	832887	5.9075
34997	837887	5.6801
35000	422883	-9.112
35010	842866	5.4596
35182	378670	76.415
35388	398253	57.641
36074	426389	-15.294
36196	846311	5.332
37072	394212	56.07
37326	403144	74.424
37332	413092	262.259
37718	771805	9.874
37759	406681	99.648
37821	384020	96.34
38142	409556	70.739
38177	416755	231.945
38643	411983	393.197
38704	395155	118.476
39072	775606	9.6
39233	380192	75.757
39327	420387	11.043
39327	425387	-2.322
39327	780387	9.231
39327	785387	8.847
39327	790387	8.476
39327	795387	8.134
39327	800387	7.789
39327	805387	7.469
39327	810387	7.166
39327	815387	6.88
39327	820387	6.6
39327	825387	6.3382
39327	830387	6.0908
39327	835387	5.8496
39327	840387	5.6285
39327	845387	5.4108
39518	415071	232.065
39598	402332	73.335
39671	376182	73.574
39917	404948	73.167
40251	428925	-2.795
40323	849023	5.2684
40767	409513	77.067
41136	413404	260.997
42569	380976	56.44
42891	417355	252.883
42896	778633	9.456
43374	396621	58.467
43502	403691	77.147
43539	419125	42.027
43555	377751	69.342
43658	407887	82.684
43658	422887	26.818
43658	427887	10.751
43658	782887	9.141
43658	787887	8.758
43658	792887	8.4
43658	797887	8.051
43658	802887	7.714
43658	807887	7.398
43658	812887	7.097
43658	817887	6.803
43658	822887	6.538
43658	827887	6.2774
43658	832887	6.0288
43658	837887	5.7937
43658	842887	5.5705
43658	847887	5.3544
44055	374730	69.409
44505	411774	79.021
44544	432149	-1.764
44982	360715	37.475
45019	359734	30.397
45274	360316	29.843
46539	781629	9.302
46661	417879	244.271
46725	417934	254.462
47228	849425	5.3296
47368	420980	63.586
47511	413408	123.896
47683	396545	68.759
47726	425409	43.505
47840	410197	87.137
47864	785502	9.032
47982	375478	59.143
47988	405388	75.396
47988	430387	22.137
47988	790387	8.663
47988	795387	8.309
47988	800387	7.954
47988	805387	7.626
47988	810387	7.315
47988	815387	7.019
47988	820387	6.733
47988	825387	6.462
47988	830387	6.21
47988	835387	5.9619
47988	840387	5.7345
47988	845387	5.5123
48146	435275	10.419
48359	378712	48.717
48815	417836	260.621
49091	419267	251.59
49320	402034	82.108
49353	439160	1.519
49786	422909	75.463
49808	425182	199.574
49918	396260	110.823
51003	374883	105.987
51059	407374	196.373
51226	846610	5.4883
51374	424331	198.781
51705	788468	8.879
52066	428656	75.913
52318	402887	79.078
52318	432887	45.549
52318	437887	24.515
52318	792887	8.571
52318	797887	8.209
52318	802887	7.862
52318	807887	7.538
52318	812887	7.228
52318	817887	6.926
52318	822887	6.652
52318	827887	6.388
52318	832887	6.133
52318	837887	5.8931
52318	842887	5.6652
52341	377863	59.85
52554	426737	248.185
52634	418750	77.092
52658	422258	84.671
52679	397983	83.687
53068	442005	13.546
53467	385546	67.847
53606	382504	58.392
54315	393461	110.481
54679	428048	89.392
54962	392252	87.789
55153	376872	98.88
55254	843713	5.6561
55397	791491	8.729
55648	427423	154.406
55997	440192	29.132
56071	404117	215.281
56314	380874	88.314
56393	400383	90.246
56472	384645	60.547
56496	430888	84.309
56555	840267	5.826
56625	795417	8.461
56642	428230	181.733
56648	420387	92.506
56648	435386	54.823
56648	800387	8.1
56648	805387	7.76
56648	810387	7.443
56648	815387	7.138
56648	820387	6.844
56648	825387	6.57
56648	830387	6.308
56648	835387	6.055
56708	395801	81.359
56786	423861	101.993
56863	444977	24.681
57321	428995	253.667
57618	416540	143.385
57915	373180	45.047
58575	389601	66.677
59083	410747	114.762
59445	795001	8.54
59491	373286	45.351
59544	840535	5.844
59975	389592	65.92
60007	390720	73.509
60038	427966	211.033
60097	422295	262.058
60112	378875	76.885
60167	445885	90.752
60188	397044	101.94
60196	428948	150.138
60406	382196	58.263
60506	798306	8.315
60588	432729	84.553
60642	837506	5.99
60719	403397	89.434
60846	417851	91.153
60978	802887	7.995
60978	807887	7.664
60978	812887	7.344
60978	817887	7.034
60978	822887	6.756
60978	827887	6.484
60978	832887	6.223
61068	436730	73.513
61180	445253	47.135
61367	413229	85.864
61378	393467	79.988
61907	378441	59.408
61944	429192	86.883
61952	406509	101.57
62282	426981	229.022
62345	425093	127.022
62495	434882	300.989
62544	433641	287.023
62558	445203	43.394
62989	437818	61.799
63002	435322	258.253
63109	388494	71.025
63304	436731	226.221
63357	430138	129.032
64270	801364	8.146
64290	430333	218.596
64332	436276	245.739
64416	428368	98.033
64547	429921	185.42
64731	834660	6.17
64784	413875	86.899
64953	379422	61.098
65024	393910	88.694
65240	404958	77.659
65308	805387	7.878
65308	810387	7.553
65308	815387	7.24
65308	820387	6.939
65308	825387	6.653
65308	830387	6.389
65311	390386	95.688
65331	411491	89.009
65394	425966	79.861
65581	438099	67.77
65714	427764	97.903
65777	376104	52.591
65993	386153	100.772
66808	402366	169.535
66809	409312	89.695
67625	445239	137.209
67990	804469	7.981
68496	412215	96.197
68747	410432	160.966
68789	831823	6.348
69013	392088	88.596
69184	408269	89.104
69306	808172	7.748
69323	426061	201.088
69366	447428	144.997
69395	384360	155.404
69404	402725	46.831
69638	387887	119.762
69638	812887	7.445
69638	817887	7.128
69638	822887	6.842
69638	827887	6.563
69658	373572	29.226
69692	377614	58.191
70003	423619	74.91
70368	444060	108.23
70582	410897	107.759
71270	408726	155.653
71272	391732	97.229
72002	406232	149.811
72193	372745	44.376
72270	443570	107.736
72655	389263	118.877
72752	829018	6.527
72833	385642	155.982
73023	372530	44.049
73115	811221	7.588
73122	379046	73.867
73191	375793	36.25
73352	451576	188.057
73374	409303	175.412
73513	373437	45.115
73546	423866	71.313
73901	390787	62.194
73959	825372	6.74
73968	815387	7.339
73968	820387	7.031
74192	406120	89.428
74370	387115	77.952
74386	453366	159.334
74505	421002	69.912
75232	388714	53.053
75648	385863	68.615
76009	454863	225.803
76633	422270	69.062
76751	814219	7.437
76870	454736	197.132
76892	826003	6.731
77316	386850	39.913
77317	456124	179.536
77450	405080	90.485
77564	423488	71.22
77572	384642	53.681
77889	604879	-481.681
78102	818059	7.204
78135	822696	6.933
78263	407073	87.558
78364	417802	78.317
78848	607888	-530.176
78888	612877	-591.444
78925	617877	-623.798
78962	622877	-592.044
78998	627877	-694.792
79035	632877	-651.525
79072	637876	-574.716
79109	642876	-504.362
79321	415037	62.166
79422	646729	-501.934
79823	385182	57.696
80174	459217	154.463
80224	386935	76.122
81416	607184	-458.488
81430	820584	7.086
81712	418342	60.221
81956	389204	77.292
82009	407225	55.909
82069	380169	49.222
82596	610440	-510.029
82606	460578	182.445
82629	415451	90.199
82629	615387	-581.477
82629	620387	-590.196
82629	625387	-699.163
82629	630387	-680.769
82629	635387	-622.765
82629	640387	-561.119
82629	645387	-519.229
82824	386021	81.032
82936	412969	121.586
83035	380362	42.562
83368	649297	-462.329
83539	375887	45.71
83621	409942	87.786
83756	429761	63.15
84065	380454	50.392
84284	464199	163.27
84771	376904	56.526
85086	381485	51.128
85096	387263	58.005
85119	382501	35.776
85172	374573	51.712
85297	409278	125.772
85515	411854	100.702
85651	463642	131.77
85671	609912	-396.553
85722	414179	77.203
85749	416067	105.263
86249	377843	49.297
86826	466610	126.984
86872	613020	-436.655
86959	617887	-498.744
86959	622887	-534.577
86959	627887	-651.872
86959	632887	-604.088
86959	637887	-558.499
86959	642887	-509.033
86959	647887	-463.874
87227	375381	34.73
87241	428475	50.32
87576	651972	-456.571
87989	470022	88.464
88001	413658	65.747
88422	375411	39.342
88620	471247	123.066
89026	471234	150.376
89926	612641	-425.447
90514	428198	47.026
90925	413629	55.344
91120	615628	-430.591
91248	427474	45.04
91289	620387	-492.651
91289	625387	-626.806
91289	630387	-633.185
91289	635387	-586.153
91289	640387	-539.357
91289	645387	-486.395
91289	650387	-449.643
91542	414394	59.929
91600	476170	156.327
91791	654648	-432.968
91893	411815	74.052
93125	479472	170.599
93408	420452	42.162
94181	615369	-433.292
94947	479328	136.246
95085	421220	33.282
95279	427268	42.37
95354	618263	-402.277
95419	412093	79.475
95619	622887	-456.933
95619	627887	-589.944
95619	632887	-568.104
95619	637887	-542.381
95619	642887	-479.159
95619	647887	-436.703
95619	652887	-420.219
95624	418795	32.788
