name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
166           184048  370784  0.2468E+00  0.2636E+02  0.2524E+02  0.5160E+02  0.3594E-01
166           183769  370837  0.2530E+00  0.2187E+02  0.2533E+02  0.4720E+02  0.3582E-01
166           184141  370837  0.2466E+00  0.2635E+02  0.2526E+02  0.5161E+02  0.3595E-01
166           184327  370837  0.2459E+00  0.2632E+02  0.2523E+02  0.5156E+02  0.3595E-01
166           184513  370837  0.2457E+00  0.2632E+02  0.2521E+02  0.5153E+02  0.3597E-01
166           183676  370891  0.2532E+00  0.2188E+02  0.2536E+02  0.4724E+02  0.3583E-01
166           184048  370891  0.2468E+00  0.2635E+02  0.2528E+02  0.5163E+02  0.3596E-01
166           184234  370891  0.2462E+00  0.2633E+02  0.2526E+02  0.5159E+02  0.3596E-01
167           184234  370891  0.2462E+00  0.2633E+02  0.2526E+02  0.5159E+02  0.3596E-01
166           184420  370891  0.2456E+00  0.2631E+02  0.2524E+02  0.5155E+02  0.3596E-01
166           184606  370891  0.2454E+00  0.2630E+02  0.2522E+02  0.5152E+02  0.3597E-01
166           184792  370891  0.2453E+00  0.2630E+02  0.2521E+02  0.5151E+02  0.3598E-01
493           184978  370891  0.2452E+00  0.2631E+02  0.2520E+02  0.5151E+02  0.3599E-01
166           183769  370945  0.2529E+00  0.2185E+02  0.2537E+02  0.4722E+02  0.3584E-01
535           183955  370945  0.2523E+00  0.2182E+02  0.2536E+02  0.4718E+02  0.3585E-01
166           184141  370945  0.2464E+00  0.2632E+02  0.2529E+02  0.5161E+02  0.3597E-01
167           184141  370945  0.2464E+00  0.2632E+02  0.2529E+02  0.5161E+02  0.3597E-01
166           184327  370945  0.2457E+00  0.2630E+02  0.2526E+02  0.5155E+02  0.3597E-01
166           184513  370945  0.2454E+00  0.2628E+02  0.2523E+02  0.5152E+02  0.3598E-01
166           184699  370945  0.2453E+00  0.2629E+02  0.2523E+02  0.5152E+02  0.3599E-01
493           184885  370945  0.2451E+00  0.2628E+02  0.2522E+02  0.5150E+02  0.3600E-01
493           185071  370945  0.2503E+00  0.2041E+02  0.2523E+02  0.4564E+02  0.3641E-01
166           183676  370999  0.2532E+00  0.2187E+02  0.2540E+02  0.4727E+02  0.3585E-01
166           183862  370999  0.2525E+00  0.2183E+02  0.2539E+02  0.4721E+02  0.3586E-01
535           184048  370999  0.2466E+00  0.2633E+02  0.2531E+02  0.5163E+02  0.3597E-01
166           184234  370999  0.2459E+00  0.2629E+02  0.2528E+02  0.5157E+02  0.3597E-01
167           184234  370999  0.2459E+00  0.2629E+02  0.2528E+02  0.5157E+02  0.3597E-01
166           184420  370999  0.2454E+00  0.2627E+02  0.2527E+02  0.5154E+02  0.3598E-01
166           184606  370999  0.2451E+00  0.2626E+02  0.2524E+02  0.5151E+02  0.3598E-01
493           184792  370999  0.2451E+00  0.2627E+02  0.2524E+02  0.5151E+02  0.3599E-01
493           184978  370999  0.2450E+00  0.2628E+02  0.2523E+02  0.5150E+02  0.3600E-01
493           185165  370999  0.2501E+00  0.2040E+02  0.2524E+02  0.4564E+02  0.3641E-01
166           183582  371052  0.2541E+00  0.2116E+02  0.2537E+02  0.4653E+02  0.3596E-01
166           183769  371052  0.2535E+00  0.2113E+02  0.2536E+02  0.4649E+02  0.3597E-01
535           183769  371052  0.2535E+00  0.2113E+02  0.2536E+02  0.4649E+02  0.3597E-01
166           183955  371052  0.2529E+00  0.2108E+02  0.2535E+02  0.4643E+02  0.3598E-01
220           183955  371052  0.2529E+00  0.2108E+02  0.2535E+02  0.4643E+02  0.3598E-01
535           183955  371052  0.2529E+00  0.2108E+02  0.2535E+02  0.4643E+02  0.3598E-01
166           184141  371052  0.2493E+00  0.2279E+02  0.2534E+02  0.4812E+02  0.3655E-01
166           184327  371052  0.2485E+00  0.2274E+02  0.2532E+02  0.4806E+02  0.3654E-01
167           184327  371052  0.2485E+00  0.2274E+02  0.2532E+02  0.4806E+02  0.3654E-01
166           184513  371052  0.2482E+00  0.2272E+02  0.2530E+02  0.4802E+02  0.3655E-01
166           184699  371052  0.2480E+00  0.2270E+02  0.2529E+02  0.4799E+02  0.3656E-01
493           184885  371052  0.2480E+00  0.2270E+02  0.2528E+02  0.4798E+02  0.3658E-01
493           185071  371052  0.2465E+00  0.2482E+02  0.2521E+02  0.5003E+02  0.3588E-01
166           183303  371106  0.2552E+00  0.2124E+02  0.2543E+02  0.4667E+02  0.3600E-01
166           183489  371106  0.2544E+00  0.2119E+02  0.2541E+02  0.4659E+02  0.3599E-01
166           183676  371106  0.2539E+00  0.2115E+02  0.2539E+02  0.4654E+02  0.3598E-01
535           183862  371106  0.2532E+00  0.2110E+02  0.2537E+02  0.4647E+02  0.3599E-01
166           184048  371106  0.2494E+00  0.2280E+02  0.2536E+02  0.4816E+02  0.3656E-01
220           184048  371106  0.2494E+00  0.2280E+02  0.2536E+02  0.4816E+02  0.3656E-01
535           184048  371106  0.2494E+00  0.2280E+02  0.2536E+02  0.4816E+02  0.3656E-01
166           184234  371106  0.2488E+00  0.2276E+02  0.2534E+02  0.4810E+02  0.3656E-01
167           184234  371106  0.2488E+00  0.2276E+02  0.2534E+02  0.4810E+02  0.3656E-01
166           184420  371106  0.2482E+00  0.2272E+02  0.2532E+02  0.4803E+02  0.3655E-01
166           184606  371106  0.2480E+00  0.2270E+02  0.2531E+02  0.4801E+02  0.3656E-01
166           184792  371106  0.2478E+00  0.2269E+02  0.2530E+02  0.4799E+02  0.3657E-01
493           184792  371106  0.2478E+00  0.2269E+02  0.2530E+02  0.4799E+02  0.3657E-01
493           184978  371106  0.2477E+00  0.2269E+02  0.2528E+02  0.4797E+02  0.3659E-01
493           185165  371106  0.2463E+00  0.2481E+02  0.2520E+02  0.5001E+02  0.3589E-01
166           183210  371160  0.2557E+00  0.2128E+02  0.2546E+02  0.4674E+02  0.3601E-01
166           183396  371160  0.2547E+00  0.2121E+02  0.2543E+02  0.4664E+02  0.3601E-01
166           183582  371160  0.2541E+00  0.2116E+02  0.2541E+02  0.4657E+02  0.3599E-01
166           183769  371160  0.2534E+00  0.2112E+02  0.2540E+02  0.4651E+02  0.3599E-01
167           183769  371160  0.2534E+00  0.2112E+02  0.2540E+02  0.4651E+02  0.3599E-01
535           183769  371160  0.2534E+00  0.2112E+02  0.2540E+02  0.4651E+02  0.3599E-01
166           183955  371160  0.2527E+00  0.2107E+02  0.2536E+02  0.4643E+02  0.3599E-01
220           183955  371160  0.2527E+00  0.2107E+02  0.2536E+02  0.4643E+02  0.3599E-01
166           184141  371160  0.2490E+00  0.2277E+02  0.2536E+02  0.4813E+02  0.3657E-01
166           184327  371160  0.2483E+00  0.2273E+02  0.2535E+02  0.4808E+02  0.3655E-01
167           184327  371160  0.2483E+00  0.2273E+02  0.2535E+02  0.4808E+02  0.3655E-01
166           184513  371160  0.2479E+00  0.2270E+02  0.2533E+02  0.4803E+02  0.3656E-01
166           184699  371160  0.2478E+00  0.2269E+02  0.2532E+02  0.4801E+02  0.3657E-01
493           184885  371160  0.2477E+00  0.2268E+02  0.2531E+02  0.4799E+02  0.3659E-01
493           185071  371160  0.2462E+00  0.2478E+02  0.2522E+02  0.5000E+02  0.3589E-01
493           185258  371160  0.2459E+00  0.2479E+02  0.2521E+02  0.5000E+02  0.3588E-01
166           183303  371213  0.2552E+00  0.2125E+02  0.2546E+02  0.4671E+02  0.3603E-01
166           183489  371213  0.2544E+00  0.2119E+02  0.2544E+02  0.4663E+02  0.3602E-01
