name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190               41  733157  0.8339E-03  0.1063E-01  0.9441E-02  0.2007E-01  0.2869E-03  0.5738E-04
190            -1291  729422  0.8406E-03  0.1070E-01  0.9453E-02  0.2015E-01  0.2884E-03  0.5767E-04
191              331  702076  0.9842E-03  0.1310E-01  0.9560E-02  0.2266E-01  0.3432E-03  0.6863E-04
191              356  697887  0.1013E-02  0.1357E-01  0.9693E-02  0.2326E-01  0.3538E-03  0.7077E-04
191              356  692887  0.1042E-02  0.1401E-01  0.9794E-02  0.2381E-01  0.3641E-03  0.7282E-04
191              356  687887  0.1065E-02  0.1433E-01  0.9945E-02  0.2427E-01  0.3707E-03  0.7413E-04
191              356  682887  0.1099E-02  0.1482E-01  0.1009E-01  0.2491E-01  0.3820E-03  0.7640E-04
191              356  677887  0.1134E-02  0.1532E-01  0.1026E-01  0.2558E-01  0.3940E-03  0.7881E-04
191              356  672887  0.1179E-02  0.1359E-01  0.1043E-01  0.2402E-01  0.4070E-03  0.8139E-04
191              356  667887  0.1215E-02  0.1399E-01  0.1057E-01  0.2456E-01  0.4181E-03  0.8361E-04
191              356  662887  0.1253E-02  0.1444E-01  0.1072E-01  0.2516E-01  0.4306E-03  0.8612E-04
191              356  657887  0.1291E-02  0.1486E-01  0.1088E-01  0.2574E-01  0.4423E-03  0.8847E-04
191              431  654767  0.1321E-02  0.1521E-01  0.1099E-01  0.2620E-01  0.4518E-03  0.9035E-04
159             1788  395449  0.3551E-02  0.3183E-01  0.1379E-01  0.4562E-01  0.8309E-03  0.4232E-03
159             1739  393617  0.3562E-02  0.3168E-01  0.1374E-01  0.4542E-01  0.8312E-03  0.4329E-03
190             6587  784792  0.6949E-03  0.8469E-02  0.1029E-01  0.1876E-01  0.2282E-03  0.4564E-04
190             5898  780094  0.7053E-03  0.8620E-02  0.1021E-01  0.1883E-01  0.2324E-03  0.4647E-04
190             5229  775224  0.7178E-03  0.8810E-02  0.1016E-01  0.1897E-01  0.2376E-03  0.4752E-04
190             4736  770381  0.7295E-03  0.9000E-02  0.1005E-01  0.1905E-01  0.2424E-03  0.4849E-04
190             4686  765387  0.7444E-03  0.9148E-02  0.1014E-01  0.1929E-01  0.2457E-03  0.4913E-04
190             4686  760387  0.7612E-03  0.9415E-02  0.1011E-01  0.1953E-01  0.2531E-03  0.5061E-04
190             4686  755387  0.7779E-03  0.9664E-02  0.1004E-01  0.1970E-01  0.2596E-03  0.5192E-04
190             4686  750387  0.7941E-03  0.9844E-02  0.1014E-01  0.1998E-01  0.2637E-03  0.5274E-04
190             4686  745387  0.8112E-03  0.1010E-01  0.1005E-01  0.2015E-01  0.2707E-03  0.5414E-04
190             4686  740387  0.8286E-03  0.1037E-01  0.9949E-02  0.2031E-01  0.2778E-03  0.5556E-04
190             3854  736202  0.8399E-03  0.1059E-01  0.9778E-02  0.2037E-01  0.2844E-03  0.5688E-04
191             4610  703102  0.9915E-03  0.1325E-01  0.9687E-02  0.2294E-01  0.3446E-03  0.6893E-04
191             4686  700387  0.1014E-02  0.1358E-01  0.9772E-02  0.2335E-01  0.3523E-03  0.7046E-04
191             4686  695387  0.1046E-02  0.1404E-01  0.9912E-02  0.2395E-01  0.3632E-03  0.7264E-04
191             4686  690387  0.1077E-02  0.1447E-01  0.1005E-01  0.2451E-01  0.3733E-03  0.7467E-04
191             4686  685387  0.1110E-02  0.1492E-01  0.1018E-01  0.2510E-01  0.3837E-03  0.7674E-04
191             4686  680387  0.1136E-02  0.1525E-01  0.1033E-01  0.2559E-01  0.3904E-03  0.7809E-04
191             4686  675387  0.1174E-02  0.1580E-01  0.1049E-01  0.2629E-01  0.4033E-03  0.8065E-04
191             4686  670387  0.1220E-02  0.1398E-01  0.1067E-01  0.2466E-01  0.4171E-03  0.8341E-04
191             4686  665387  0.1259E-02  0.1441E-01  0.1083E-01  0.2524E-01  0.4285E-03  0.8570E-04
191             4686  660387  0.1298E-02  0.1482E-01  0.1096E-01  0.2578E-01  0.4397E-03  0.8794E-04
191             4703  655817  0.1334E-02  0.1523E-01  0.1111E-01  0.2634E-01  0.4506E-03  0.9013E-04
159             6076  398315  0.3839E-02  0.3352E-01  0.1426E-01  0.4778E-01  0.8624E-03  0.4402E-03
159             4829  395187  0.3776E-02  0.3293E-01  0.1403E-01  0.4696E-01  0.8534E-03  0.4431E-03
159             5252  391155  0.3857E-02  0.3293E-01  0.1409E-01  0.4702E-01  0.8631E-03  0.4719E-03
190            11196  802308  0.6615E-03  0.8001E-02  0.1030E-01  0.1830E-01  0.2155E-03  0.4309E-04
190            10446  797499  0.6732E-03  0.8134E-02  0.1042E-01  0.1855E-01  0.2187E-03  0.4374E-04
190             9753  792686  0.6835E-03  0.8284E-02  0.1037E-01  0.1865E-01  0.2231E-03  0.4462E-04
190             9181  787844  0.6957E-03  0.8471E-02  0.1034E-01  0.1881E-01  0.2283E-03  0.4566E-04
190             9017  782887  0.7095E-03  0.8603E-02  0.1044E-01  0.1905E-01  0.2312E-03  0.4623E-04
190             9017  777887  0.7217E-03  0.8768E-02  0.1036E-01  0.1913E-01  0.2355E-03  0.4709E-04
190             9017  772887  0.7375E-03  0.8995E-02  0.1033E-01  0.1932E-01  0.2412E-03  0.4825E-04
190             9017  767887  0.7535E-03  0.9151E-02  0.1043E-01  0.1958E-01  0.2445E-03  0.4891E-04
190             9017  762887  0.7682E-03  0.9377E-02  0.1036E-01  0.1974E-01  0.2505E-03  0.5010E-04
190             9017  757887  0.7853E-03  0.9632E-02  0.1032E-01  0.1995E-01  0.2575E-03  0.5149E-04
190             9017  752887  0.8031E-03  0.9913E-02  0.1025E-01  0.2016E-01  0.2649E-03  0.5298E-04
190             9017  747887  0.8197E-03  0.1007E-01  0.1036E-01  0.2043E-01  0.2683E-03  0.5365E-04
190             8836  743046  0.8360E-03  0.1032E-01  0.1026E-01  0.2057E-01  0.2750E-03  0.5500E-04
190             7490  739197  0.8449E-03  0.1052E-01  0.1009E-01  0.2061E-01  0.2812E-03  0.5624E-04
191             8982  701934  0.1018E-02  0.1358E-01  0.9881E-02  0.2346E-01  0.3505E-03  0.7009E-04
191             9017  697887  0.1048E-02  0.1401E-01  0.1001E-01  0.2402E-01  0.3607E-03  0.7214E-04
191             9017  692887  0.1079E-02  0.1441E-01  0.1014E-01  0.2455E-01  0.3702E-03  0.7404E-04
191             9017  687887  0.1114E-02  0.1489E-01  0.1028E-01  0.2518E-01  0.3815E-03  0.7631E-04
191             9017  682887  0.1151E-02  0.1542E-01  0.1045E-01  0.2587E-01  0.3934E-03  0.7868E-04
191             9017  677887  0.1191E-02  0.1598E-01  0.1065E-01  0.2663E-01  0.4058E-03  0.8117E-04
191             9017  672887  0.1238E-02  0.1410E-01  0.1082E-01  0.2492E-01  0.4189E-03  0.8377E-04
191             9017  667887  0.1277E-02  0.1455E-01  0.1099E-01  0.2554E-01  0.4314E-03  0.8627E-04
191             9017  662887  0.1318E-02  0.1496E-01  0.1111E-01  0.2607E-01  0.4420E-03  0.8839E-04
191             9017  657887  0.1358E-02  0.1540E-01  0.1126E-01  0.2666E-01  0.4535E-03  0.9071E-04
191             9083  654534  0.1376E-02  0.1560E-01  0.1132E-01  0.2692E-01  0.4592E-03  0.9185E-04
162            10368  401463  0.4158E-02  0.3482E-01  0.1475E-01  0.4957E-01  0.9001E-03  0.4989E-03
159             8258  397105  0.4041E-02  0.3439E-01  0.1444E-01  0.4883E-01  0.8797E-03  0.4595E-03
162             9920  398644  0.4177E-02  0.3518E-01  0.1467E-01  0.4985E-01  0.8933E-03  0.4649E-03
159             9017  392887  0.4185E-02  0.3465E-01  0.1451E-01  0.4916E-01  0.8939E-03  0.4944E-03
159             9439  388410  0.4375E-02  0.3521E-01  0.1495E-01  0.5016E-01  0.9218E-03  0.5320E-03
159            11165  383841  0.4781E-02  0.3609E-01  0.1552E-01  0.5161E-01  0.9629E-03  0.6251E-03
