x	y	tot_dep-mol~ha~y
34997	802887	14.633
34997	807887	14.549
34997	812887	14.468
34997	817887	14.399
34997	822887	14.328
34997	827887	14.254
34997	832887	14.184
34997	837887	14.115
35000	422883	26.853
35010	842866	14.043
35182	378670	24.676
35388	398253	27.903
36074	426389	26.65
36196	846311	14.004
37072	394212	29.229
37326	403144	26.291
37332	413092	37.238
37718	771805	15.31
37759	406681	28.216
37821	384020	26.099
38142	409556	26.231
38177	416755	34.102
38643	411983	55.253
38704	395155	39.605
39072	775606	15.235
39233	380192	24.226
39327	420387	26.189
39327	425387	26.169
39327	780387	15.132
39327	785387	15.021
39327	790387	14.919
39327	795387	14.823
39327	800387	14.732
39327	805387	14.644
39327	810387	14.567
39327	815387	14.488
39327	820387	14.415
39327	825387	14.345
39327	830387	14.279
39327	835387	14.205
39327	840387	14.134
39327	845387	14.066
39518	415071	37.894
39598	402332	25.764
39671	376182	23.734
39917	404948	25.834
40251	428925	26.017
40323	849023	14.028
40767	409513	25.72
41136	413404	43.01
42569	380976	23.986
42891	417355	38.622
42896	778633	15.217
43374	396621	28.914
43502	403691	25.141
43539	419125	25.478
43555	377751	23.373
43658	407887	25.231
43658	422887	25.514
43658	427887	25.547
43658	782887	15.13
43658	787887	15.026
43658	792887	14.925
43658	797887	14.839
43658	802887	14.745
43658	807887	14.666
43658	812887	14.587
43658	817887	14.508
43658	822887	14.438
43658	827887	14.373
43658	832887	14.299
43658	837887	14.224
43658	842887	14.157
43658	847887	14.093
44055	374730	23.808
44505	411774	25.131
44544	432149	25.427
44982	360715	28.347
45019	359734	28.36
45274	360316	28.358
46539	781629	15.203
46661	417879	35.446
46725	417934	35.431
47228	849425	14.154
47368	420980	24.896
47511	413408	28.936
47683	396545	28.251
47726	425409	24.938
47840	410197	24.613
47864	785502	15.142
47982	375478	22.565
47988	405388	24.468
47988	430387	24.926
47988	790387	15.04
47988	795387	14.953
47988	800387	14.869
47988	805387	14.784
47988	810387	14.702
47988	815387	14.623
47988	820387	14.551
47988	825387	14.483
47988	830387	14.403
47988	835387	14.331
47988	840387	14.272
47988	845387	14.216
48146	435275	24.906
48359	378712	22.82
48815	417836	35.447
49091	419267	33.648
49320	402034	25.954
49353	439160	24.726
49786	422909	24.832
49808	425182	30.667
49918	396260	28.801
51003	374883	29.569
51059	407374	29.044
51226	846610	14.363
51374	424331	32.872
51705	788468	15.143
52066	428656	24.266
52318	402887	23.681
52318	432887	24.313
52318	437887	24.301
52318	792887	15.07
52318	797887	14.983
52318	802887	14.904
52318	807887	14.823
52318	812887	14.746
52318	817887	14.67
52318	822887	14.591
52318	827887	14.518
52318	832887	14.444
52318	837887	14.388
52318	842887	14.344
52341	377863	22.232
52554	426737	34.844
52634	418750	24.034
52658	422258	24.268
52679	397983	23.398
53068	442005	24.203
53467	385546	26.764
53606	382504	22.416
54315	393461	32.011
54679	428048	24.212
54962	392252	31.212
55153	376872	25.459
55254	843713	14.461
55397	791491	15.152
55648	427423	30.255
55997	440192	23.833
56071	404117	33.43
56314	380874	24.053
56393	400383	23.011
56472	384645	22.266
56496	430888	23.675
56555	840267	14.528
56625	795417	15.111
56642	428230	31.052
56648	420387	23.533
56648	435386	23.735
56648	800387	15.031
56648	805387	14.955
56648	810387	14.869
56648	815387	14.793
56648	820387	14.715
56648	825387	14.642
56648	830387	14.568
56648	835387	14.509
56708	395801	22.777
56786	423861	23.503
56863	444977	23.649
57321	428995	33.74
57618	416540	27.136
57915	373180	27.062
58575	389601	27.733
59083	410747	31.108
59445	795001	15.179
59491	373286	26.932
59544	840535	14.61
59975	389592	27.258
60007	390720	27.788
60038	427966	34.873
60097	422295	31.014
60112	378875	27.537
60167	445885	23.599
60188	397044	23.36
60196	428948	28.004
60406	382196	21.617
60506	798306	15.142
60588	432729	23.173
60642	837506	14.579
60719	403397	22.532
60846	417851	23.149
60978	802887	15.075
60978	807887	14.998
60978	812887	14.923
