name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.1492E+00  0.2352E+02  0.1487E+02  0.3839E+02  0.1547E-01
190           226576  563508  0.1491E+00  0.2352E+02  0.1488E+02  0.3840E+02  0.1547E-01
190           226483  563561  0.1490E+00  0.2353E+02  0.1489E+02  0.3841E+02  0.1546E-01
190           226669  563561  0.1490E+00  0.2349E+02  0.1486E+02  0.3836E+02  0.1546E-01
190           226204  563615  0.1491E+00  0.2360E+02  0.1493E+02  0.3852E+02  0.1545E-01
190           226390  563615  0.1489E+00  0.2352E+02  0.1489E+02  0.3842E+02  0.1545E-01
190           226576  563615  0.1489E+00  0.2348E+02  0.1487E+02  0.3835E+02  0.1546E-01
190           226297  563669  0.1489E+00  0.2355E+02  0.1491E+02  0.3846E+02  0.1545E-01
190           226483  563669  0.1488E+00  0.2350E+02  0.1488E+02  0.3838E+02  0.1545E-01
190           226669  563669  0.1487E+00  0.2346E+02  0.1486E+02  0.3831E+02  0.1546E-01
190           226204  563723  0.1489E+00  0.2357E+02  0.1492E+02  0.3849E+02  0.1544E-01
190           226390  563723  0.1487E+00  0.2350E+02  0.1490E+02  0.3840E+02  0.1545E-01
190           226576  563723  0.1486E+00  0.2345E+02  0.1487E+02  0.3832E+02  0.1545E-01
190           226297  563776  0.1487E+00  0.2352E+02  0.1491E+02  0.3843E+02  0.1544E-01
190           226483  563776  0.1485E+00  0.2346E+02  0.1488E+02  0.3835E+02  0.1545E-01
190           226669  563776  0.1486E+00  0.2343E+02  0.1485E+02  0.3828E+02  0.1545E-01
190           226204  563830  0.1487E+00  0.2354E+02  0.1492E+02  0.3846E+02  0.1543E-01
190           226390  563830  0.1485E+00  0.2347E+02  0.1489E+02  0.3836E+02  0.1544E-01
190           226576  563830  0.1484E+00  0.2342E+02  0.1486E+02  0.3829E+02  0.1545E-01
190           226111  563884  0.1488E+00  0.2357E+02  0.1493E+02  0.3850E+02  0.1542E-01
190           226297  563884  0.1485E+00  0.2350E+02  0.1491E+02  0.3840E+02  0.1543E-01
190           226483  563884  0.1484E+00  0.2344E+02  0.1488E+02  0.3833E+02  0.1544E-01
190           226204  563938  0.1486E+00  0.2352E+02  0.1492E+02  0.3844E+02  0.1542E-01
190           226390  563938  0.1483E+00  0.2345E+02  0.1489E+02  0.3834E+02  0.1543E-01
190           226576  563938  0.1483E+00  0.2340E+02  0.1486E+02  0.3826E+02  0.1543E-01
190           226111  563991  0.1487E+00  0.2355E+02  0.1493E+02  0.3848E+02  0.1541E-01
190           226297  563991  0.1484E+00  0.2347E+02  0.1491E+02  0.3838E+02  0.1542E-01
190           226483  563991  0.1483E+00  0.2342E+02  0.1488E+02  0.3830E+02  0.1542E-01
190           226204  564045  0.1438E+00  0.3065E+02  0.1589E+02  0.4654E+02  0.1429E-01
204           226204  564045  0.1438E+00  0.3065E+02  0.1589E+02  0.4654E+02  0.1429E-01
190           226390  564045  0.1436E+00  0.3057E+02  0.1586E+02  0.4643E+02  0.1429E-01
190           226576  564045  0.1435E+00  0.3050E+02  0.1583E+02  0.4633E+02  0.1430E-01
190           226111  564099  0.1438E+00  0.3070E+02  0.1589E+02  0.4659E+02  0.1428E-01
204           226111  564099  0.1438E+00  0.3070E+02  0.1589E+02  0.4659E+02  0.1428E-01
190           226297  564099  0.1436E+00  0.3058E+02  0.1588E+02  0.4646E+02  0.1428E-01
204           226297  564099  0.1436E+00  0.3058E+02  0.1588E+02  0.4646E+02  0.1428E-01
190           226483  564099  0.1435E+00  0.3051E+02  0.1585E+02  0.4636E+02  0.1429E-01
190           226204  564152  0.1437E+00  0.3063E+02  0.1588E+02  0.4651E+02  0.1428E-01
204           226204  564152  0.1437E+00  0.3063E+02  0.1588E+02  0.4651E+02  0.1428E-01
190           226390  564152  0.1435E+00  0.3054E+02  0.1586E+02  0.4640E+02  0.1428E-01
190           226576  564152  0.1434E+00  0.3047E+02  0.1583E+02  0.4630E+02  0.1428E-01
190           226297  564206  0.1435E+00  0.3057E+02  0.1587E+02  0.4643E+02  0.1427E-01
 
