name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
166           184048  370784  0.2225E-01  0.2456E+01  0.2608E+01  0.5063E+01  0.3596E-02
166           183769  370837  0.2257E-01  0.2025E+01  0.2606E+01  0.4631E+01  0.3561E-02
166           184141  370837  0.2225E-01  0.2457E+01  0.2610E+01  0.5067E+01  0.3597E-02
166           184327  370837  0.2225E-01  0.2460E+01  0.2611E+01  0.5072E+01  0.3601E-02
166           184513  370837  0.2227E-01  0.2465E+01  0.2612E+01  0.5077E+01  0.3607E-02
166           183676  370891  0.2255E-01  0.2023E+01  0.2606E+01  0.4629E+01  0.3558E-02
166           184048  370891  0.2224E-01  0.2453E+01  0.2610E+01  0.5063E+01  0.3594E-02
166           184234  370891  0.2223E-01  0.2457E+01  0.2611E+01  0.5068E+01  0.3597E-02
167           184234  370891  0.2223E-01  0.2457E+01  0.2611E+01  0.5068E+01  0.3597E-02
166           184420  370891  0.2225E-01  0.2462E+01  0.2612E+01  0.5074E+01  0.3603E-02
166           184606  370891  0.2226E-01  0.2465E+01  0.2613E+01  0.5077E+01  0.3608E-02
166           184792  370891  0.2229E-01  0.2470E+01  0.2614E+01  0.5084E+01  0.3613E-02
493           184978  370891  0.2232E-01  0.2474E+01  0.2617E+01  0.5091E+01  0.3619E-02
166           183769  370945  0.2254E-01  0.2023E+01  0.2608E+01  0.4630E+01  0.3560E-02
535           183955  370945  0.2254E-01  0.2025E+01  0.2610E+01  0.4635E+01  0.3565E-02
166           184141  370945  0.2222E-01  0.2453E+01  0.2610E+01  0.5063E+01  0.3595E-02
167           184141  370945  0.2222E-01  0.2453E+01  0.2610E+01  0.5063E+01  0.3595E-02
166           184327  370945  0.2222E-01  0.2457E+01  0.2611E+01  0.5068E+01  0.3599E-02
166           184513  370945  0.2224E-01  0.2461E+01  0.2612E+01  0.5074E+01  0.3605E-02
