name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190               41  733157  0.4220E-01  0.4414E+00  0.6283E+00  0.1070E+01  0.1180E-01  0.2359E-02
190            -1291  729422  0.4262E-01  0.4489E+00  0.6269E+00  0.1076E+01  0.1198E-01  0.2397E-02
191              331  702076  0.4896E-01  0.5195E+00  0.6684E+00  0.1188E+01  0.1366E-01  0.2731E-02
191              356  697887  0.4983E-01  0.5297E+00  0.6701E+00  0.1200E+01  0.1390E-01  0.2780E-02
191              356  692887  0.5107E-01  0.5442E+00  0.6749E+00  0.1219E+01  0.1424E-01  0.2849E-02
191              356  687887  0.5241E-01  0.5594E+00  0.6826E+00  0.1242E+01  0.1459E-01  0.2917E-02
191              356  682887  0.5357E-01  0.5744E+00  0.6883E+00  0.1263E+01  0.1493E-01  0.2986E-02
191              356  677887  0.5509E-01  0.5925E+00  0.6946E+00  0.1287E+01  0.1533E-01  0.3067E-02
191              356  672887  0.5696E-01  0.5492E+00  0.7033E+00  0.1253E+01  0.1570E-01  0.3140E-02
191              356  667887  0.5874E-01  0.5671E+00  0.7120E+00  0.1279E+01  0.1617E-01  0.3235E-02
191              356  662887  0.6054E-01  0.5858E+00  0.7197E+00  0.1305E+01  0.1668E-01  0.3337E-02
191              356  657887  0.6234E-01  0.6034E+00  0.7301E+00  0.1333E+01  0.1711E-01  0.3423E-02
191              431  654767  0.6361E-01  0.6166E+00  0.7359E+00  0.1352E+01  0.1747E-01  0.3494E-02
159             1788  395449  0.3286E+00  0.2710E+01  0.1231E+01  0.3941E+01  0.6261E-01  0.3189E-01
159             1739  393617  0.3283E+00  0.2700E+01  0.1232E+01  0.3932E+01  0.6285E-01  0.3273E-01
190             6587  784792  0.3519E-01  0.3716E+00  0.5829E+00  0.9545E+00  0.1003E-01  0.2006E-02
190             5898  780094  0.3574E-01  0.3753E+00  0.5863E+00  0.9616E+00  0.1012E-01  0.2024E-02
190             5229  775224  0.3637E-01  0.3809E+00  0.5915E+00  0.9724E+00  0.1028E-01  0.2056E-02
190             4736  770381  0.3686E-01  0.3854E+00  0.5938E+00  0.9791E+00  0.1041E-01  0.2082E-02
190             4686  765387  0.3766E-01  0.3927E+00  0.6012E+00  0.9939E+00  0.1061E-01  0.2122E-02
190             4686  760387  0.3847E-01  0.4004E+00  0.6092E+00  0.1010E+01  0.1079E-01  0.2158E-02
190             4686  755387  0.3911E-01  0.4069E+00  0.6132E+00  0.1020E+01  0.1096E-01  0.2192E-02
190             4686  750387  0.4003E-01  0.4164E+00  0.6220E+00  0.1038E+01  0.1121E-01  0.2242E-02
190             4686  745387  0.4091E-01  0.4259E+00  0.6285E+00  0.1054E+01  0.1143E-01  0.2287E-02
190             4686  740387  0.4170E-01  0.4322E+00  0.6303E+00  0.1063E+01  0.1152E-01  0.2304E-02
190             3854  736202  0.4240E-01  0.4401E+00  0.6339E+00  0.1074E+01  0.1170E-01  0.2340E-02
191             4610  703102  0.4996E-01  0.5279E+00  0.6836E+00  0.1211E+01  0.1382E-01  0.2764E-02
191             4686  700387  0.5057E-01  0.5348E+00  0.6870E+00  0.1222E+01  0.1398E-01  0.2796E-02
191             4686  695387  0.5190E-01  0.5502E+00  0.6911E+00  0.1241E+01  0.1433E-01  0.2867E-02
191             4686  690387  0.5314E-01  0.5651E+00  0.6963E+00  0.1261E+01  0.1468E-01  0.2937E-02
191             4686  685387  0.5459E-01  0.5826E+00  0.7058E+00  0.1288E+01  0.1508E-01  0.3017E-02
191             4686  680387  0.5605E-01  0.5998E+00  0.7128E+00  0.1313E+01  0.1545E-01  0.3090E-02
191             4686  675387  0.5734E-01  0.6115E+00  0.7147E+00  0.1326E+01  0.1559E-01  0.3119E-02
191             4686  670387  0.5927E-01  0.5663E+00  0.7231E+00  0.1289E+01  0.1600E-01  0.3199E-02
191             4686  665387  0.6092E-01  0.5826E+00  0.7309E+00  0.1314E+01  0.1643E-01  0.3286E-02
191             4686  660387  0.6299E-01  0.6074E+00  0.7423E+00  0.1350E+01  0.1719E-01  0.3438E-02
191             4703  655817  0.6473E-01  0.6250E+00  0.7516E+00  0.1377E+01  0.1763E-01  0.3525E-02
159             6076  398315  0.3449E+00  0.2796E+01  0.1281E+01  0.4077E+01  0.6353E-01  0.3242E-01
159             4829  395187  0.3398E+00  0.2768E+01  0.1272E+01  0.4040E+01  0.6362E-01  0.3303E-01
159             5252  391155  0.3448E+00  0.2774E+01  0.1302E+01  0.4076E+01  0.6421E-01  0.3510E-01
190            11196  802308  0.3320E-01  0.3541E+00  0.5715E+00  0.9256E+00  0.9718E-02  0.1944E-02
190            10446  797499  0.3388E-01  0.3586E+00  0.5767E+00  0.9353E+00  0.9763E-02  0.1953E-02
190             9753  792686  0.3451E-01  0.3646E+00  0.5821E+00  0.9467E+00  0.9890E-02  0.1978E-02
190             9181  787844  0.3507E-01  0.3700E+00  0.5851E+00  0.9551E+00  0.9993E-02  0.1999E-02
190             9017  782887  0.3585E-01  0.3764E+00  0.5917E+00  0.9681E+00  0.1014E-01  0.2027E-02
190             9017  777887  0.3661E-01  0.3829E+00  0.5989E+00  0.9818E+00  0.1031E-01  0.2063E-02
190             9017  772887  0.3724E-01  0.3885E+00  0.6036E+00  0.9921E+00  0.1047E-01  0.2094E-02
190             9017  767887  0.3806E-01  0.3959E+00  0.6112E+00  0.1007E+01  0.1067E-01  0.2134E-02
190             9017  762887  0.3886E-01  0.4036E+00  0.6183E+00  0.1022E+01  0.1087E-01  0.2174E-02
190             9017  757887  0.3958E-01  0.4108E+00  0.6244E+00  0.1035E+01  0.1104E-01  0.2208E-02
190             9017  752887  0.4043E-01  0.4195E+00  0.6316E+00  0.1051E+01  0.1127E-01  0.2254E-02
190             9017  747887  0.4127E-01  0.4261E+00  0.6368E+00  0.1063E+01  0.1137E-01  0.2274E-02
190             8836  743046  0.4211E-01  0.4351E+00  0.6423E+00  0.1077E+01  0.1157E-01  0.2315E-02
190             7490  739197  0.4260E-01  0.4404E+00  0.6426E+00  0.1083E+01  0.1169E-01  0.2339E-02
191             8982  701934  0.5156E-01  0.5383E+00  0.6998E+00  0.1238E+01  0.1392E-01  0.2784E-02
191             9017  697887  0.5247E-01  0.5500E+00  0.7019E+00  0.1252E+01  0.1421E-01  0.2842E-02
191             9017  692887  0.5400E-01  0.5671E+00  0.7108E+00  0.1278E+01  0.1459E-01  0.2917E-02
191             9017  687887  0.5535E-01  0.5841E+00  0.7185E+00  0.1303E+01  0.1499E-01  0.2997E-02
191             9017  682887  0.5683E-01  0.6018E+00  0.7253E+00  0.1327E+01  0.1537E-01  0.3075E-02
191             9017  677887  0.5840E-01  0.6201E+00  0.7324E+00  0.1353E+01  0.1575E-01  0.3150E-02
191             9017  672887  0.6027E-01  0.5741E+00  0.7402E+00  0.1314E+01  0.1614E-01  0.3228E-02
191             9017  667887  0.6188E-01  0.5900E+00  0.7480E+00  0.1338E+01  0.1655E-01  0.3311E-02
191             9017  662887  0.6360E-01  0.6070E+00  0.7547E+00  0.1362E+01  0.1700E-01  0.3400E-02
191             9017  657887  0.6532E-01  0.6238E+00  0.7637E+00  0.1387E+01  0.1741E-01  0.3481E-02
191             9083  654534  0.6680E-01  0.6388E+00  0.7707E+00  0.1409E+01  0.1779E-01  0.3559E-02
162            10368  401463  0.3661E+00  0.2868E+01  0.1342E+01  0.4209E+01  0.6484E-01  0.3594E-01
159             8258  397105  0.3559E+00  0.2850E+01  0.1323E+01  0.4173E+01  0.6452E-01  0.3370E-01
162             9920  398644  0.3650E+00  0.2897E+01  0.1349E+01  0.4246E+01  0.6490E-01  0.3378E-01
159             9017  392887  0.3616E+00  0.2859E+01  0.1364E+01  0.4222E+01  0.6517E-01  0.3604E-01
159             9439  388410  0.3693E+00  0.2881E+01  0.1392E+01  0.4273E+01  0.6621E-01  0.3821E-01
159            11165  383841  0.3810E+00  0.2877E+01  0.1464E+01  0.4341E+01  0.6817E-01  0.4426E-01
190            15953  820155  0.3086E-01  0.3285E+00  0.5506E+00  0.8791E+00  0.9082E-02  0.1816E-02
190            15028  814864  0.3151E-01  0.3357E+00  0.5564E+00  0.8921E+00  0.9248E-02  0.1850E-02
190            14334  810143  0.3222E-01  0.3502E+00  0.5614E+00  0.9117E+00  0.9593E-02  0.1919E-02
190            13690  805277  0.3310E-01  0.3535E+00  0.5737E+00  0.9272E+00  0.9716E-02  0.1943E-02
190            13347  800387  0.3387E-01  0.3589E+00  0.5801E+00  0.9389E+00  0.9785E-02  0.1957E-02
190            13347  795387  0.3460E-01  0.3654E+00  0.5869E+00  0.9523E+00  0.9920E-02  0.1984E-02
190            13347  790387  0.3534E-01  0.3722E+00  0.5932E+00  0.9654E+00  0.1004E-01  0.2009E-02
190            13347  785387  0.3617E-01  0.3793E+00  0.6002E+00  0.9795E+00  0.1018E-01  0.2036E-02
190            13347  780387  0.3693E-01  0.3856E+00  0.6074E+00  0.9930E+00  0.1037E-01  0.2073E-02
190            13347  775387  0.3764E-01  0.3920E+00  0.6140E+00  0.1006E+01  0.1055E-01  0.2109E-02
190            13347  770387  0.3845E-01  0.3991E+00  0.6212E+00  0.1020E+01  0.1073E-01  0.2146E-02
190            13347  765387  0.3929E-01  0.4072E+00  0.6295E+00  0.1037E+01  0.1095E-01  0.2190E-02
190            13347  760387  0.3995E-01  0.4138E+00  0.6337E+00  0.1047E+01  0.1112E-01  0.2224E-02
190            13347  755387  0.4081E-01  0.4203E+00  0.6396E+00  0.1060E+01  0.1122E-01  0.2243E-02
190            13347  750387  0.4176E-01  0.4302E+00  0.6487E+00  0.1079E+01  0.1146E-01  0.2293E-02
190            12671  746041  0.4231E-01  0.4363E+00  0.6503E+00  0.1087E+01  0.1160E-01  0.2319E-02
191            13175  702963  0.5259E-01  0.5480E+00  0.7153E+00  0.1263E+01  0.1412E-01  0.2824E-02
191            13347  700387  0.5332E-01  0.5562E+00  0.7186E+00  0.1275E+01  0.1431E-01  0.2861E-02
191            13347  695387  0.5483E-01  0.5731E+00  0.7268E+00  0.1300E+01  0.1467E-01  0.2934E-02
191            13347  690387  0.5621E-01  0.5900E+00  0.7351E+00  0.1325E+01  0.1506E-01  0.3011E-02
191            13347  685387  0.5792E-01  0.6095E+00  0.7449E+00  0.1354E+01  0.1547E-01  0.3093E-02
191            13347  680387  0.5932E-01  0.6266E+00  0.7496E+00  0.1376E+01  0.1584E-01  0.3168E-02
191            13347  675387  0.6106E-01  0.6462E+00  0.7583E+00  0.1405E+01  0.1626E-01  0.3252E-02
191            13347  670387  0.6304E-01  0.5987E+00  0.7665E+00  0.1365E+01  0.1670E-01  0.3340E-02
191            13347  665387  0.6470E-01  0.6156E+00  0.7733E+00  0.1389E+01  0.1714E-01  0.3428E-02
191            13347  660387  0.6662E-01  0.6344E+00  0.7827E+00  0.1417E+01  0.1762E-01  0.3523E-02
191            13357  655652  0.6820E-01  0.6499E+00  0.7895E+00  0.1439E+01  0.1798E-01  0.3597E-02
162            14230  404300  0.3893E+00  0.2993E+01  0.1402E+01  0.4394E+01  0.6626E-01  0.3656E-01
162            13347  400387  0.3863E+00  0.2964E+01  0.1409E+01  0.4374E+01  0.6605E-01  0.3756E-01
159            13114  394093  0.3866E+00  0.2950E+01  0.1441E+01  0.4391E+01  0.6697E-01  0.4023E-01
162            13505  396267  0.3884E+00  0.2967E+01  0.1432E+01  0.4399E+01  0.6678E-01  0.3936E-01
159            13347  390387  0.3898E+00  0.2951E+01  0.1475E+01  0.4426E+01  0.6761E-01  0.4180E-01
159            13347  385387  0.3958E+00  0.2964E+01  0.1516E+01  0.4480E+01  0.6895E-01  0.4411E-01
159            13650  381070  0.3977E+00  0.2943E+01  0.1549E+01  0.4492E+01  0.6936E-01  0.4591E-01
169            15206  379836  0.4095E+00  0.2995E+01  0.1598E+01  0.4594E+01  0.7016E-01  0.4730E-01
188            14704  378110  0.4063E+00  0.3076E+01  0.1569E+01  0.4646E+01  0.7044E-01  0.4842E-01
169            14115  377876  0.4077E+00  0.4679E+01  0.1546E+01  0.6225E+01  0.7010E-01  0.4866E-01
187            14841  375339  0.4281E+00  0.6250E+01  0.1509E+01  0.7759E+01  0.7371E-01  0.5187E-01
188            14673  377099  0.4121E+00  0.4727E+01  0.1554E+01  0.6281E+01  0.7050E-01  0.4894E-01
190            19588  832293  0.2969E-01  0.3172E+00  0.5418E+00  0.8589E+00  0.8845E-02  0.1769E-02
190            18902  827592  0.3032E-01  0.3229E+00  0.5489E+00  0.8718E+00  0.8953E-02  0.1791E-02
190            18231  822719  0.3085E-01  0.3282E+00  0.5533E+00  0.8814E+00  0.9073E-02  0.1815E-02
190            17726  817881  0.3135E-01  0.3330E+00  0.5571E+00  0.8902E+00  0.9183E-02  0.1837E-02
190            17677  812887  0.3204E-01  0.3400E+00  0.5645E+00  0.9046E+00  0.9351E-02  0.1870E-02
190            17677  807887  0.3278E-01  0.3477E+00  0.5721E+00  0.9199E+00  0.9532E-02  0.1906E-02
190            17677  802887  0.3359E-01  0.3563E+00  0.5791E+00  0.9354E+00  0.9691E-02  0.1938E-02
190            17677  797887  0.3476E-01  0.3666E+00  0.5930E+00  0.9596E+00  0.9948E-02  0.1990E-02
190            17677  792887  0.3560E-01  0.3752E+00  0.6012E+00  0.9763E+00  0.1013E-01  0.2026E-02
190            17677  787887  0.3651E-01  0.3822E+00  0.6097E+00  0.9918E+00  0.1024E-01  0.2047E-02
190            17677  782887  0.3726E-01  0.3885E+00  0.6164E+00  0.1005E+01  0.1042E-01  0.2084E-02
190            17677  777887  0.3794E-01  0.3945E+00  0.6218E+00  0.1016E+01  0.1059E-01  0.2118E-02
190            17677  772887  0.3876E-01  0.4019E+00  0.6295E+00  0.1031E+01  0.1079E-01  0.2158E-02
190            17677  767887  0.3961E-01  0.4098E+00  0.6382E+00  0.1048E+01  0.1099E-01  0.2198E-02
190            17677  762887  0.4038E-01  0.4152E+00  0.6430E+00  0.1058E+01  0.1109E-01  0.2218E-02
190            17677  757887  0.4120E-01  0.4234E+00  0.6499E+00  0.1073E+01  0.1130E-01  0.2260E-02
190            17621  752950  0.4213E-01  0.4330E+00  0.6583E+00  0.1091E+01  0.1154E-01  0.2307E-02
190            16337  749049  0.4252E-01  0.4374E+00  0.6585E+00  0.1096E+01  0.1162E-01  0.2324E-02
191            17612  701776  0.5435E-01  0.5651E+00  0.7367E+00  0.1302E+01  0.1448E-01  0.2895E-02
191            17625  697887  0.5552E-01  0.5786E+00  0.7417E+00  0.1320E+01  0.1478E-01  0.2955E-02
191            17586  692888  0.5714E-01  0.5969E+00  0.7501E+00  0.1347E+01  0.1516E-01  0.3032E-02
191            17538  687890  0.5861E-01  0.6151E+00  0.7588E+00  0.1374E+01  0.1558E-01  0.3115E-02
191            17481  682893  0.6028E-01  0.6337E+00  0.7668E+00  0.1401E+01  0.1595E-01  0.3190E-02
191            17424  677894  0.6187E-01  0.6516E+00  0.7735E+00  0.1425E+01  0.1632E-01  0.3264E-02
191            17369  672897  0.6392E-01  0.6051E+00  0.7829E+00  0.1388E+01  0.1676E-01  0.3352E-02
191            17309  667900  0.6579E-01  0.6236E+00  0.7925E+00  0.1416E+01  0.1726E-01  0.3452E-02
191            17245  662902  0.6753E-01  0.6410E+00  0.7988E+00  0.1440E+01  0.1770E-01  0.3540E-02
191            17180  657902  0.6948E-01  0.6603E+00  0.8072E+00  0.1468E+01  0.1820E-01  0.3639E-02
191            17257  654361  0.7099E-01  0.6748E+00  0.8171E+00  0.1492E+01  0.1852E-01  0.3704E-02
162            19208  410811  0.4174E+00  0.3135E+01  0.1467E+01  0.4603E+01  0.6719E-01  0.3636E-01
162            18195  407429  0.4123E+00  0.3106E+01  0.1460E+01  0.4566E+01  0.6722E-01  0.3711E-01
162            17677  402887  0.4147E+00  0.3110E+01  0.1490E+01  0.4600E+01  0.6768E-01  0.3866E-01
162            17675  397888  0.4169E+00  0.3105E+01  0.1517E+01  0.4622E+01  0.6831E-01  0.4079E-01
159            17107  392827  0.4147E+00  0.3077E+01  0.1542E+01  0.4620E+01  0.6900E-01  0.4286E-01
162            17677  395108  0.4176E+00  0.3100E+01  0.1531E+01  0.4632E+01  0.6860E-01  0.4166E-01
169            19331  392307  0.4331E+00  0.3163E+01  0.1607E+01  0.4770E+01  0.7031E-01  0.4426E-01
159            16397  388266  0.4133E+00  0.3058E+01  0.1585E+01  0.4643E+01  0.6938E-01  0.4377E-01
169            18544  387630  0.4314E+00  0.3145E+01  0.1659E+01  0.4803E+01  0.7067E-01  0.4521E-01
159            15584  383578  0.4138E+00  0.3048E+01  0.1596E+01  0.4643E+01  0.7024E-01  0.4568E-01
169            17869  382823  0.4345E+00  0.3149E+01  0.1676E+01  0.4825E+01  0.7111E-01  0.4656E-01
169            17475  379724  0.4344E+00  0.4454E+01  0.1656E+01  0.6110E+01  0.7036E-01  0.4692E-01
188            15028  377977  0.4291E+00  0.5901E+01  0.1579E+01  0.7480E+01  0.7201E-01  0.5034E-01
190            22365  834942  0.2973E-01  0.3172E+00  0.5457E+00  0.8629E+00  0.8844E-02  0.1769E-02
190            22007  830387  0.3026E-01  0.3225E+00  0.5500E+00  0.8725E+00  0.8961E-02  0.1792E-02
190            22007  825387  0.3086E-01  0.3278E+00  0.5561E+00  0.8839E+00  0.9059E-02  0.1812E-02
190            22007  820387  0.3157E-01  0.3347E+00  0.5639E+00  0.8986E+00  0.9213E-02  0.1843E-02
190            22007  815387  0.3228E-01  0.3419E+00  0.5716E+00  0.9134E+00  0.9384E-02  0.1877E-02
