name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190               41  733157  0.3225E+01  0.4616E+02  0.7833E+02  0.1245E+03  0.1222E+01  0.2443E+00
190            -1291  729422  0.3260E+01  0.4649E+02  0.7864E+02  0.1251E+03  0.1231E+01  0.2462E+00
191              331  702076  0.3441E+01  0.4895E+02  0.8137E+02  0.1303E+03  0.1288E+01  0.2577E+00
191              356  697887  0.3470E+01  0.4933E+02  0.8181E+02  0.1311E+03  0.1297E+01  0.2593E+00
191              356  692887  0.3507E+01  0.4979E+02  0.8230E+02  0.1321E+03  0.1307E+01  0.2613E+00
191              356  687887  0.3524E+01  0.5020E+02  0.8276E+02  0.1330E+03  0.1317E+01  0.2634E+00
191              356  682887  0.3563E+01  0.5069E+02  0.8337E+02  0.1341E+03  0.1329E+01  0.2657E+00
191              356  677887  0.3601E+01  0.5114E+02  0.8388E+02  0.1350E+03  0.1339E+01  0.2678E+00
191              356  672887  0.3665E+01  0.4609E+02  0.8453E+02  0.1306E+03  0.1351E+01  0.2703E+00
191              356  667887  0.3703E+01  0.4651E+02  0.8503E+02  0.1315E+03  0.1362E+01  0.2723E+00
191              356  662887  0.3742E+01  0.4686E+02  0.8553E+02  0.1324E+03  0.1369E+01  0.2738E+00
191              356  657887  0.3779E+01  0.4722E+02  0.8599E+02  0.1332E+03  0.1378E+01  0.2755E+00
191              431  654767  0.3804E+01  0.4746E+02  0.8625E+02  0.1337E+03  0.1383E+01  0.2767E+00
159             1788  395449  0.7598E+01  0.7660E+02  0.9804E+02  0.1746E+03  0.2086E+01  0.1062E+01
159             1739  393617  0.7689E+01  0.7678E+02  0.9804E+02  0.1748E+03  0.2093E+01  0.1090E+01
190             6587  784792  0.2905E+01  0.4196E+02  0.7293E+02  0.1149E+03  0.1130E+01  0.2261E+00
190             5898  780094  0.2933E+01  0.4232E+02  0.7347E+02  0.1158E+03  0.1138E+01  0.2276E+00
190             5229  775224  0.2962E+01  0.4270E+02  0.7398E+02  0.1167E+03  0.1146E+01  0.2292E+00
190             4736  770381  0.2992E+01  0.4310E+02  0.7451E+02  0.1176E+03  0.1154E+01  0.2308E+00
