name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
191              356  667887  0.7099E-05 -0.9154E-02  0.2440E-02 -0.6713E-02  0.2650E-04
191              356  662887  0.7469E-05 -0.9305E-02  0.2487E-02 -0.6818E-02  0.2733E-04
191              356  657887  0.7865E-05 -0.9487E-02  0.2537E-02 -0.6951E-02  0.2813E-04
191              431  654767  0.8117E-05 -0.9393E-02  0.2570E-02 -0.6823E-02  0.2872E-04
159             1788  395449  0.6540E-04 -0.1700E-02  0.5276E-02  0.3576E-02  0.6463E-04
159             1739  393617  0.6552E-04 -0.1249E-02  0.5246E-02  0.3997E-02  0.6369E-04
190             6587  784792  0.1641E-05  0.2285E-03  0.1562E-02  0.1790E-02  0.1256E-04
190             5898  780094  0.1712E-05  0.2356E-03  0.1587E-02  0.1822E-02  0.1288E-04
190             5229  775224  0.1788E-05  0.2435E-03  0.1614E-02  0.1857E-02  0.1323E-04
190             4736  770381  0.1882E-05  0.2529E-03  0.1644E-02  0.1897E-02  0.1361E-04
190             4686  765387  0.1988E-05  0.2638E-03  0.1681E-02  0.1944E-02  0.1404E-04
190             4686  760387  0.2099E-05  0.2749E-03  0.1718E-02  0.1992E-02  0.1447E-04
190             4686  755387  0.2217E-05  0.2871E-03  0.1752E-02  0.2040E-02  0.1491E-04
190             4686  750387  0.2350E-05  0.3002E-03  0.1791E-02  0.2091E-02  0.1535E-04
190             4686  745387  0.2492E-05  0.3150E-03  0.1830E-02  0.2145E-02  0.1587E-04
190             4686  740387  0.2637E-05  0.3304E-03  0.1868E-02  0.2199E-02  0.1639E-04
190             3854  736202  0.2745E-05  0.3422E-03  0.1893E-02  0.2235E-02  0.1683E-04
191             4610  703102  0.4016E-05  0.4732E-03  0.2198E-02  0.2671E-02  0.2141E-04
191             4686  700387  0.4144E-05  0.4863E-03  0.2225E-02  0.2711E-02  0.2185E-04
191             4686  695387  0.4401E-05  0.5116E-03  0.2278E-02  0.2790E-02  0.2269E-04
191             4686  690387  0.4666E-05  0.5392E-03  0.2328E-02  0.2868E-02  0.2357E-04
191             4686  685387  0.4948E-05  0.5691E-03  0.2383E-02  0.2952E-02  0.2454E-04
191             4686  680387  0.5294E-05  0.6053E-03  0.2451E-02  0.3056E-02  0.2566E-04
191             4686  675387  0.5615E-05  0.6399E-03  0.2502E-02  0.3142E-02  0.2661E-04
191             4686  670387  0.7179E-05 -0.9649E-02  0.2475E-02 -0.7174E-02  0.2635E-04
191             4686  665387  0.7549E-05 -0.9805E-02  0.2522E-02 -0.7282E-02  0.2722E-04
191             4686  660387  0.7949E-05 -0.9978E-02  0.2570E-02 -0.7408E-02  0.2807E-04
191             4703  655817  0.8327E-05 -0.1011E-01  0.2619E-02 -0.7489E-02  0.2889E-04
159             6076  398315  0.7192E-04 -0.1889E-02  0.5670E-02  0.3781E-02  0.6778E-04
159             4829  395187  0.7049E-04 -0.1457E-02  0.5522E-02  0.4065E-02  0.6572E-04
159             5252  391155  0.7219E-04 -0.3703E-03  0.5498E-02  0.5128E-02  0.6359E-04
190            11196  802308  0.1409E-05  0.2054E-03  0.1477E-02  0.1682E-02  0.1148E-04
190            10446  797499  0.1472E-05  0.2112E-03  0.1503E-02  0.1715E-02  0.1176E-04
190             9753  792686  0.1540E-05  0.2180E-03  0.1531E-02  0.1749E-02  0.1207E-04
190             9181  787844  0.1616E-05  0.2257E-03  0.1560E-02  0.1786E-02  0.1241E-04
190             9017  782887  0.1697E-05  0.2340E-03  0.1594E-02  0.1828E-02  0.1278E-04
190             9017  777887  0.1783E-05  0.2426E-03  0.1627E-02  0.1870E-02  0.1315E-04
190             9017  772887  0.1877E-05  0.2521E-03  0.1665E-02  0.1917E-02  0.1355E-04
190             9017  767887  0.1988E-05  0.2630E-03  0.1701E-02  0.1964E-02  0.1396E-04
190             9017  762887  0.2103E-05  0.2750E-03  0.1740E-02  0.2015E-02  0.1441E-04
190             9017  757887  0.2220E-05  0.2867E-03  0.1776E-02  0.2062E-02  0.1484E-04
190             9017  752887  0.2349E-05  0.3002E-03  0.1815E-02  0.2115E-02  0.1531E-04
190             9017  747887  0.2493E-05  0.3142E-03  0.1856E-02  0.2170E-02  0.1578E-04
190             8836  743046  0.2630E-05  0.3286E-03  0.1892E-02  0.2221E-02  0.1628E-04
190             7490  739197  0.2722E-05  0.3387E-03  0.1908E-02  0.2247E-02  0.1664E-04
191             8982  701934  0.4202E-05  0.4913E-03  0.2270E-02  0.2761E-02  0.2189E-04
191             9017  697887  0.4407E-05  0.5124E-03  0.2311E-02  0.2824E-02  0.2257E-04
191             9017  692887  0.4688E-05  0.5402E-03  0.2365E-02  0.2905E-02  0.2343E-04
191             9017  687887  0.4968E-05  0.5694E-03  0.2416E-02  0.2985E-02  0.2435E-04
191             9017  682887  0.5296E-05  0.6034E-03  0.2483E-02  0.3086E-02  0.2543E-04
191             9017  677887  0.5643E-05  0.6401E-03  0.2540E-02  0.3180E-02  0.2648E-04
191             9017  672887  0.7247E-05 -0.9450E-02  0.2510E-02 -0.6940E-02  0.2624E-04
191             9017  667887  0.7601E-05 -0.9586E-02  0.2559E-02 -0.7027E-02  0.2711E-04
191             9017  662887  0.7998E-05 -0.9756E-02  0.2609E-02 -0.7147E-02  0.2800E-04
191             9017  657887  0.8430E-05 -0.9923E-02  0.2660E-02 -0.7264E-02  0.2889E-04
191             9083  654534  0.8732E-05 -0.9882E-02  0.2696E-02 -0.7186E-02  0.2953E-04
162            10368  401463  0.7934E-04 -0.1236E-03  0.6139E-02  0.6015E-02  0.7143E-04
159             8258  397105  0.7650E-04 -0.1496E-02  0.5859E-02  0.4363E-02  0.6796E-04
162             9920  398644  0.7951E-04 -0.1668E-02  0.6059E-02  0.4390E-02  0.6979E-04
159             9017  392887  0.7978E-04 -0.2107E-03  0.5880E-02  0.5669E-02  0.6573E-04
159             9439  388410  0.8218E-04  0.7394E-03  0.5866E-02  0.6605E-02  0.6281E-04
159            11165  383841  0.8849E-04  0.3408E-02  0.6115E-02  0.9523E-02  0.6004E-04
190            15953  820155  0.1168E-05  0.1864E-03  0.1361E-02  0.1547E-02  0.1043E-04
190            15028  814864  0.1223E-05  0.1925E-03  0.1387E-02  0.1580E-02  0.1072E-04
190            14334  810143  0.1286E-05  0.1990E-03  0.1413E-02  0.1612E-02  0.1100E-04
190            13690  805277  0.1389E-05  0.2033E-03  0.1474E-02  0.1678E-02  0.1136E-04
190            13347  800387  0.1456E-05  0.2098E-03  0.1504E-02  0.1713E-02  0.1165E-04
190            13347  795387  0.1532E-05  0.2168E-03  0.1538E-02  0.1755E-02  0.1197E-04
190            13347  790387  0.1615E-05  0.2250E-03  0.1573E-02  0.1798E-02  0.1234E-04
