name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190               41  733157  0.8614E-05  0.9436E-04  0.1149E-03  0.2093E-03  0.2609E-05  0.5219E-06
190            -1291  729422  0.8722E-05  0.9565E-04  0.1150E-03  0.2107E-03  0.2640E-05  0.5279E-06
191              331  702076  0.1028E-04  0.1128E-03  0.1221E-03  0.2349E-03  0.3052E-05  0.6103E-06
191              356  697887  0.1055E-04  0.1159E-03  0.1231E-03  0.2390E-03  0.3128E-05  0.6255E-06
191              356  692887  0.1089E-04  0.1199E-03  0.1241E-03  0.2440E-03  0.3221E-05  0.6443E-06
191              356  687887  0.1125E-04  0.1239E-03  0.1252E-03  0.2491E-03  0.3315E-05  0.6631E-06
191              356  682887  0.1163E-04  0.1285E-03  0.1265E-03  0.2549E-03  0.3423E-05  0.6846E-06
191              356  677887  0.1204E-04  0.1333E-03  0.1276E-03  0.2609E-03  0.3534E-05  0.7067E-06
191              356  672887  0.1252E-04  0.1233E-03  0.1288E-03  0.2521E-03  0.3651E-05  0.7301E-06
191              356  667887  0.1297E-04  0.1277E-03  0.1304E-03  0.2581E-03  0.3773E-05  0.7547E-06
191              356  662887  0.1345E-04  0.1322E-03  0.1319E-03  0.2641E-03  0.3897E-05  0.7795E-06
191              356  657887  0.1395E-04  0.1357E-03  0.1403E-03  0.2760E-03  0.3974E-05  0.7948E-06
191              431  654767  0.1429E-04  0.1389E-03  0.1415E-03  0.2804E-03  0.4058E-05  0.8116E-06
159             1788  395449  0.4148E-04  0.4224E-03  0.1835E-03  0.6059E-03  0.1147E-04  0.5843E-05
159             1739  393617  0.4132E-04  0.4196E-03  0.1837E-03  0.6033E-03  0.1147E-04  0.5971E-05
