name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.6435E+00  0.1028E+03  0.6846E+02  0.1712E+03  0.6155E-01
190           226576  563508  0.6444E+00  0.1030E+03  0.6855E+02  0.1716E+03  0.6155E-01
190           226483  563561  0.6456E+00  0.1033E+03  0.6865E+02  0.1719E+03  0.6156E-01
190           226669  563561  0.6437E+00  0.1028E+03  0.6847E+02  0.1713E+03  0.6152E-01
190           226204  563615  0.6490E+00  0.1041E+03  0.6896E+02  0.1730E+03  0.6159E-01
190           226390  563615  0.6464E+00  0.1035E+03  0.6874E+02  0.1722E+03  0.6156E-01
190           226576  563615  0.6444E+00  0.1030E+03  0.6856E+02  0.1716E+03  0.6153E-01
190           226297  563669  0.6478E+00  0.1038E+03  0.6886E+02  0.1727E+03  0.6158E-01
190           226483  563669  0.6455E+00  0.1033E+03  0.6867E+02  0.1720E+03  0.6154E-01
190           226669  563669  0.6435E+00  0.1028E+03  0.6848E+02  0.1713E+03  0.6151E-01
190           226204  563723  0.6492E+00  0.1041E+03  0.6899E+02  0.1731E+03  0.6158E-01
190           226390  563723  0.6465E+00  0.1035E+03  0.6878E+02  0.1723E+03  0.6156E-01
190           226576  563723  0.6444E+00  0.1030E+03  0.6858E+02  0.1716E+03  0.6152E-01
190           226297  563776  0.6479E+00  0.1038E+03  0.6889E+02  0.1727E+03  0.6156E-01
190           226483  563776  0.6455E+00  0.1033E+03  0.6870E+02  0.1720E+03  0.6153E-01
190           226669  563776  0.6437E+00  0.1029E+03  0.6849E+02  0.1714E+03  0.6150E-01
190           226204  563830  0.6492E+00  0.1041E+03  0.6900E+02  0.1731E+03  0.6156E-01
190           226390  563830  0.6466E+00  0.1035E+03  0.6879E+02  0.1723E+03  0.6154E-01
190           226576  563830  0.6445E+00  0.1031E+03  0.6858E+02  0.1716E+03  0.6151E-01
190           226111  563884  0.6507E+00  0.1045E+03  0.6911E+02  0.1736E+03  0.6154E-01
190           226297  563884  0.6480E+00  0.1039E+03  0.6892E+02  0.1728E+03  0.6154E-01
190           226483  563884  0.6457E+00  0.1034E+03  0.6872E+02  0.1721E+03  0.6151E-01
190           226204  563938  0.6494E+00  0.1042E+03  0.6901E+02  0.1732E+03  0.6153E-01
190           226390  563938  0.6467E+00  0.1036E+03  0.6880E+02  0.1724E+03  0.6151E-01
190           226576  563938  0.6446E+00  0.1031E+03  0.6861E+02  0.1717E+03  0.6148E-01
190           226111  563991  0.6511E+00  0.1045E+03  0.6911E+02  0.1736E+03  0.6153E-01
190           226297  563991  0.6483E+00  0.1039E+03  0.6894E+02  0.1729E+03  0.6151E-01
190           226483  563991  0.6460E+00  0.1034E+03  0.6874E+02  0.1721E+03  0.6148E-01
190           226204  564045  0.6288E+00  0.1353E+03  0.7363E+02  0.2089E+03  0.5681E-01
204           226204  564045  0.6288E+00  0.1353E+03  0.7363E+02  0.2089E+03  0.5681E-01
190           226390  564045  0.6265E+00  0.1346E+03  0.7343E+02  0.2080E+03  0.5680E-01
190           226576  564045  0.6247E+00  0.1340E+03  0.7323E+02  0.2072E+03  0.5679E-01
190           226111  564099  0.6301E+00  0.1357E+03  0.7372E+02  0.2095E+03  0.5680E-01
204           226111  564099  0.6301E+00  0.1357E+03  0.7372E+02  0.2095E+03  0.5680E-01
190           226297  564099  0.6278E+00  0.1349E+03  0.7355E+02  0.2085E+03  0.5679E-01
204           226297  564099  0.6278E+00  0.1349E+03  0.7355E+02  0.2085E+03  0.5679E-01
190           226483  564099  0.6258E+00  0.1343E+03  0.7335E+02  0.2076E+03  0.5677E-01
190           226204  564152  0.6291E+00  0.1354E+03  0.7363E+02  0.2090E+03  0.5678E-01
204           226204  564152  0.6291E+00  0.1354E+03  0.7363E+02  0.2090E+03  0.5678E-01
190           226390  564152  0.6269E+00  0.1347E+03  0.7344E+02  0.2081E+03  0.5677E-01
190           226576  564152  0.6249E+00  0.1340E+03  0.7324E+02  0.2072E+03  0.5675E-01
190           226297  564206  0.6281E+00  0.1350E+03  0.7355E+02  0.2086E+03  0.5676E-01
 
