name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
191              356  667887  0.3559E-03 -0.4859E+00  0.9027E-01 -0.3957E+00  0.1214E-02
191              356  662887  0.3775E-03 -0.4990E+00  0.9217E-01 -0.4068E+00  0.1251E-02
191              356  657887  0.3989E-03 -0.5114E+00  0.9391E-01 -0.4175E+00  0.1284E-02
191              431  654767  0.4138E-03 -0.5095E+00  0.9530E-01 -0.4142E+00  0.1307E-02
159             1788  395449  0.1405E-02 -0.3622E-01  0.1303E+00  0.9411E-01  0.1500E-02
159             1739  393617  0.1398E-02 -0.2489E-01  0.1300E+00  0.1051E+00  0.1493E-02
190             6587  784792  0.6740E-04  0.1114E-01  0.5579E-01  0.6693E-01  0.4942E-03
190             5898  780094  0.7079E-04  0.1161E-01  0.5671E-01  0.6832E-01  0.5098E-03
190             5229  775224  0.7464E-04  0.1211E-01  0.5777E-01  0.6988E-01  0.5264E-03
190             4736  770381  0.7886E-04  0.1260E-01  0.5892E-01  0.7152E-01  0.5440E-03
190             4686  765387  0.8385E-04  0.1321E-01  0.6033E-01  0.7354E-01  0.5649E-03
190             4686  760387  0.8872E-04  0.1385E-01  0.6171E-01  0.7556E-01  0.5862E-03
190             4686  755387  0.9432E-04  0.1449E-01  0.6316E-01  0.7766E-01  0.6056E-03
190             4686  750387  0.1002E-03  0.1506E-01  0.6493E-01  0.7999E-01  0.6245E-03
190             4686  745387  0.1068E-03  0.1585E-01  0.6642E-01  0.8228E-01  0.6483E-03
190             4686  740387  0.1132E-03  0.1662E-01  0.6785E-01  0.8447E-01  0.6722E-03
190             3854  736202  0.1186E-03  0.1726E-01  0.6908E-01  0.8634E-01  0.6942E-03
191             4610  703102  0.1838E-03  0.2483E-01  0.8137E-01  0.1062E+00  0.9315E-03
191             4686  700387  0.1918E-03  0.2573E-01  0.8239E-01  0.1081E+00  0.9580E-03
191             4686  695387  0.2060E-03  0.2731E-01  0.8426E-01  0.1116E+00  0.1005E-02
191             4686  690387  0.2228E-03  0.2909E-01  0.8626E-01  0.1153E+00  0.1056E-02
191             4686  685387  0.2394E-03  0.3098E-01  0.8817E-01  0.1191E+00  0.1115E-02
191             4686  680387  0.2592E-03  0.3302E-01  0.9051E-01  0.1235E+00  0.1172E-02
191             4686  675387  0.2810E-03  0.3541E-01  0.9292E-01  0.1283E+00  0.1235E-02
191             4686  670387  0.3589E-03 -0.5090E+00  0.9132E-01 -0.4176E+00  0.1210E-02
191             4686  665387  0.3800E-03 -0.5218E+00  0.9316E-01 -0.4286E+00  0.1250E-02
191             4686  660387  0.4032E-03 -0.5358E+00  0.9509E-01 -0.4407E+00  0.1284E-02
191             4703  655817  0.4248E-03 -0.5466E+00  0.9694E-01 -0.4496E+00  0.1319E-02
159             6076  398315  0.1484E-02 -0.3829E-01  0.1354E+00  0.9712E-01  0.1539E-02
159             4829  395187  0.1459E-02 -0.2838E-01  0.1341E+00  0.1057E+00  0.1525E-02
159             5252  391155  0.1458E-02 -0.1593E-02  0.1339E+00  0.1323E+00  0.1509E-02
190            11196  802308  0.5692E-04  0.9657E-02  0.5257E-01  0.6223E-01  0.4398E-03
190            10446  797499  0.5967E-04  0.1004E-01  0.5352E-01  0.6356E-01  0.4535E-03
190             9753  792686  0.6254E-04  0.1046E-01  0.5459E-01  0.6505E-01  0.4696E-03
190             9181  787844  0.6613E-04  0.1092E-01  0.5561E-01  0.6654E-01  0.4858E-03
190             9017  782887  0.6985E-04  0.1145E-01  0.5691E-01  0.6836E-01  0.5047E-03
190             9017  777887  0.7405E-04  0.1200E-01  0.5810E-01  0.7011E-01  0.5227E-03
190             9017  772887  0.7865E-04  0.1259E-01  0.5943E-01  0.7202E-01  0.5416E-03
190             9017  767887  0.8359E-04  0.1319E-01  0.6094E-01  0.7413E-01  0.5628E-03
190             9017  762887  0.8866E-04  0.1380E-01  0.6237E-01  0.7617E-01  0.5839E-03
190             9017  757887  0.9409E-04  0.1449E-01  0.6376E-01  0.7825E-01  0.6056E-03
190             9017  752887  0.1002E-03  0.1525E-01  0.6536E-01  0.8061E-01  0.6294E-03
190             9017  747887  0.1067E-03  0.1582E-01  0.6708E-01  0.8290E-01  0.6464E-03
190             8836  743046  0.1129E-03  0.1657E-01  0.6843E-01  0.8500E-01  0.6686E-03
190             7490  739197  0.1171E-03  0.1710E-01  0.6921E-01  0.8631E-01  0.6860E-03
191             8982  701934  0.1932E-03  0.2575E-01  0.8374E-01  0.1095E+00  0.9530E-03
191             9017  697887  0.2051E-03  0.2709E-01  0.8536E-01  0.1125E+00  0.9946E-03
191             9017  692887  0.2221E-03  0.2891E-01  0.8746E-01  0.1164E+00  0.1046E-02
191             9017  687887  0.2383E-03  0.3070E-01  0.8957E-01  0.1203E+00  0.1100E-02
191             9017  682887  0.2588E-03  0.3283E-01  0.9173E-01  0.1246E+00  0.1160E-02
191             9017  677887  0.2816E-03  0.3515E-01  0.9423E-01  0.1294E+00  0.1222E-02
191             9017  672887  0.3637E-03 -0.4978E+00  0.9253E-01 -0.4053E+00  0.1211E-02
191             9017  667887  0.3829E-03 -0.5078E+00  0.9447E-01 -0.4134E+00  0.1249E-02
191             9017  662887  0.4067E-03 -0.5227E+00  0.9634E-01 -0.4264E+00  0.1286E-02
191             9017  657887  0.4307E-03 -0.5351E+00  0.9828E-01 -0.4369E+00  0.1322E-02
191             9083  654534  0.4478E-03 -0.5353E+00  0.9962E-01 -0.4357E+00  0.1349E-02
162            10368  401463  0.1571E-02  0.4493E-02  0.1397E+00  0.1442E+00  0.1562E-02
159             8258  397105  0.1528E-02 -0.2744E-01  0.1379E+00  0.1104E+00  0.1549E-02
162             9920  398644  0.1560E-02 -0.3044E-01  0.1394E+00  0.1090E+00  0.1561E-02
159             9017  392887  0.1534E-02  0.3488E-02  0.1384E+00  0.1419E+00  0.1535E-02
159             9439  388410  0.1531E-02  0.2600E-01  0.1374E+00  0.1634E+00  0.1509E-02
159            11165  383841  0.1529E-02  0.8438E-01  0.1389E+00  0.2233E+00  0.1496E-02
190            15953  820155  0.4740E-04  0.8581E-02  0.4810E-01  0.5669E-01  0.3932E-03
190            15028  814864  0.4968E-04  0.8915E-02  0.4912E-01  0.5803E-01  0.4061E-03
190            14334  810143  0.5214E-04  0.9254E-02  0.5013E-01  0.5938E-01  0.4188E-03
190            13690  805277  0.5614E-04  0.9511E-02  0.5248E-01  0.6199E-01  0.4343E-03
190            13347  800387  0.5886E-04  0.9896E-02  0.5355E-01  0.6345E-01  0.4485E-03
190            13347  795387  0.6210E-04  0.1034E-01  0.5476E-01  0.6510E-01  0.4649E-03
190            13347  790387  0.6579E-04  0.1084E-01  0.5614E-01  0.6697E-01  0.4835E-03
190            13347  785387  0.6984E-04  0.1137E-01  0.5742E-01  0.6879E-01  0.5020E-03
190            13347  780387  0.7383E-04  0.1192E-01  0.5871E-01  0.7063E-01  0.5211E-03
190            13347  775387  0.7839E-04  0.1253E-01  0.6011E-01  0.7263E-01  0.5406E-03
190            13347  770387  0.8328E-04  0.1316E-01  0.6151E-01  0.7467E-01  0.5616E-03
190            13347  765387  0.8854E-04  0.1382E-01  0.6292E-01  0.7675E-01  0.5837E-03
190            13347  760387  0.9394E-04  0.1446E-01  0.6447E-01  0.7892E-01  0.6044E-03
190            13347  755387  0.1001E-03  0.1518E-01  0.6593E-01  0.8111E-01  0.6260E-03
190            13347  750387  0.1069E-03  0.1605E-01  0.6749E-01  0.8354E-01  0.6528E-03
190            12671  746041  0.1123E-03  0.1654E-01  0.6882E-01  0.8536E-01  0.6664E-03
191            13175  702963  0.1975E-03  0.2614E-01  0.8532E-01  0.1115E+00  0.9592E-03
191            13347  700387  0.2051E-03  0.2696E-01  0.8648E-01  0.1134E+00  0.9842E-03
191            13347  695387  0.2205E-03  0.2858E-01  0.8855E-01  0.1171E+00  0.1032E-02
191            13347  690387  0.2393E-03  0.3057E-01  0.9078E-01  0.1214E+00  0.1087E-02
191            13347  685387  0.2568E-03  0.3248E-01  0.9297E-01  0.1254E+00  0.1145E-02
191            13347  680387  0.2788E-03  0.3476E-01  0.9539E-01  0.1302E+00  0.1208E-02
191            13347  675387  0.3026E-03  0.3724E-01  0.9772E-01  0.1350E+00  0.1272E-02
191            13347  670387  0.3873E-03 -0.5189E+00  0.9584E-01 -0.4230E+00  0.1252E-02
191            13347  665387  0.4096E-03 -0.5312E+00  0.9760E-01 -0.4336E+00  0.1291E-02
191            13347  660387  0.4344E-03 -0.5468E+00  0.9956E-01 -0.4472E+00  0.1325E-02
191            13357  655652  0.4596E-03 -0.5577E+00  0.1015E+00 -0.4562E+00  0.1364E-02
162            14230  404300  0.1658E-02  0.1164E-02  0.1452E+00  0.1463E+00  0.1607E-02
162            13347  400387  0.1629E-02  0.1835E-01  0.1432E+00  0.1615E+00  0.1580E-02
159            13114  394093  0.1647E-02  0.4815E-01  0.1401E+00  0.1882E+00  0.1475E-02
162            13505  396267  0.1669E-02  0.3797E-01  0.1392E+00  0.1772E+00  0.1484E-02
159            13347  390387  0.1625E-02  0.6337E-01  0.1415E+00  0.2049E+00  0.1496E-02
159            13347  385387  0.1577E-02  0.7938E-01  0.1407E+00  0.2201E+00  0.1497E-02
159            13650  381070  0.1549E-02  0.9456E-01  0.1413E+00  0.2359E+00  0.1509E-02
169            15206  379836  0.1575E-02  0.1046E+00  0.1443E+00  0.2489E+00  0.1530E-02
188            14704  378110  0.1546E-02  0.1181E+00  0.1445E+00  0.2626E+00  0.1533E-02
169            14115  377876  0.1499E-02  0.1973E+00  0.1458E+00  0.3431E+00  0.1555E-02
187            14841  375339  0.1504E-02  0.2826E+00  0.1463E+00  0.4289E+00  0.1514E-02
188            14673  377099  0.1510E-02  0.1986E+00  0.1465E+00  0.3452E+00  0.1552E-02
190            19588  832293  0.4274E-04  0.7929E-02  0.4626E-01  0.5419E-01  0.3687E-03
190            18902  827592  0.4468E-04  0.8189E-02  0.4710E-01  0.5529E-01  0.3784E-03
