name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190               41  733157  0.4372E-02  0.4418E-01  0.6038E-01  0.1046E+00  0.1195E-02  0.2389E-03
190            -1291  729422  0.4394E-02  0.4437E-01  0.6005E-01  0.1044E+00  0.1199E-02  0.2398E-03
191              331  702076  0.5178E-02  0.5254E-01  0.6447E-01  0.1170E+00  0.1403E-02  0.2806E-03
191              356  697887  0.5276E-02  0.5343E-01  0.6476E-01  0.1182E+00  0.1423E-02  0.2845E-03
191              356  692887  0.5451E-02  0.5504E-01  0.6576E-01  0.1208E+00  0.1459E-02  0.2918E-03
191              356  687887  0.5583E-02  0.5625E-01  0.6627E-01  0.1225E+00  0.1490E-02  0.2979E-03
191              356  682887  0.5755E-02  0.5826E-01  0.6731E-01  0.1256E+00  0.1541E-02  0.3082E-03
191              356  677887  0.5938E-02  0.5999E-01  0.6836E-01  0.1283E+00  0.1580E-02  0.3161E-03
191              356  672887  0.6170E-02  0.5711E-01  0.6934E-01  0.1265E+00  0.1632E-02  0.3264E-03
191              356  667887  0.6363E-02  0.5907E-01  0.7030E-01  0.1294E+00  0.1685E-02  0.3371E-03
191              356  662887  0.6549E-02  0.6111E-01  0.7155E-01  0.1327E+00  0.1745E-02  0.3491E-03
191              356  657887  0.6756E-02  0.6331E-01  0.7272E-01  0.1360E+00  0.1803E-02  0.3606E-03
191              431  654767  0.6872E-02  0.6469E-01  0.7291E-01  0.1376E+00  0.1842E-02  0.3684E-03
159             1788  395449  0.3249E-01  0.2806E+00  0.8803E-01  0.3686E+00  0.6473E-02  0.3297E-02
159             1739  393617  0.3262E-01  0.2814E+00  0.8924E-01  0.3707E+00  0.6567E-02  0.3420E-02
190             6587  784792  0.3643E-02  0.3732E-01  0.5564E-01  0.9296E-01  0.9976E-03  0.1995E-03
190             5898  780094  0.3691E-02  0.3775E-01  0.5587E-01  0.9362E-01  0.1009E-02  0.2017E-03
190             5229  775224  0.3768E-02  0.3840E-01  0.5650E-01  0.9490E-01  0.1024E-02  0.2049E-03
190             4736  770381  0.3839E-02  0.3909E-01  0.5700E-01  0.9609E-01  0.1040E-02  0.2081E-03
190             4686  765387  0.3897E-02  0.3943E-01  0.5732E-01  0.9675E-01  0.1055E-02  0.2110E-03
190             4686  760387  0.3989E-02  0.4011E-01  0.5815E-01  0.9826E-01  0.1076E-02  0.2152E-03
190             4686  755387  0.4069E-02  0.4098E-01  0.5865E-01  0.9963E-01  0.1101E-02  0.2202E-03
190             4686  750387  0.4180E-02  0.4240E-01  0.5947E-01  0.1019E+00  0.1139E-02  0.2278E-03
190             4686  745387  0.4289E-02  0.4340E-01  0.6058E-01  0.1040E+00  0.1167E-02  0.2334E-03
190             4686  740387  0.4341E-02  0.4392E-01  0.6084E-01  0.1048E+00  0.1185E-02  0.2370E-03
190             3854  736202  0.4419E-02  0.4462E-01  0.6141E-01  0.1060E+00  0.1204E-02  0.2407E-03
191             4610  703102  0.5270E-02  0.5281E-01  0.6632E-01  0.1191E+00  0.1396E-02  0.2792E-03
191             4686  700387  0.5351E-02  0.5407E-01  0.6609E-01  0.1202E+00  0.1437E-02  0.2874E-03
191             4686  695387  0.5537E-02  0.5581E-01  0.6725E-01  0.1231E+00  0.1476E-02  0.2952E-03
191             4686  690387  0.5670E-02  0.5692E-01  0.6779E-01  0.1247E+00  0.1503E-02  0.3005E-03
191             4686  685387  0.5855E-02  0.5886E-01  0.6929E-01  0.1281E+00  0.1552E-02  0.3104E-03
191             4686  680387  0.5992E-02  0.6023E-01  0.6962E-01  0.1299E+00  0.1583E-02  0.3167E-03
191             4686  675387  0.6193E-02  0.6237E-01  0.7052E-01  0.1329E+00  0.1631E-02  0.3262E-03
191             4686  670387  0.6438E-02  0.5947E-01  0.7213E-01  0.1316E+00  0.1686E-02  0.3373E-03
191             4686  665387  0.6602E-02  0.6124E-01  0.7302E-01  0.1343E+00  0.1737E-02  0.3474E-03
191             4686  660387  0.6813E-02  0.6352E-01  0.7408E-01  0.1376E+00  0.1799E-02  0.3599E-03
191             4703  655817  0.7023E-02  0.6582E-01  0.7522E-01  0.1410E+00  0.1860E-02  0.3720E-03
159             6076  398315  0.3431E-01  0.2904E+00  0.9115E-01  0.3815E+00  0.6573E-02  0.3355E-02
159             4829  395187  0.3383E-01  0.2878E+00  0.9134E-01  0.3791E+00  0.6620E-02  0.3437E-02
159             5252  391155  0.3373E-01  0.2860E+00  0.9204E-01  0.3781E+00  0.6690E-02  0.3657E-02
190            11196  802308  0.3450E-02  0.3548E-01  0.5481E-01  0.9029E-01  0.9527E-03  0.1905E-03
190            10446  797499  0.3490E-02  0.3582E-01  0.5473E-01  0.9056E-01  0.9595E-03  0.1919E-03
190             9753  792686  0.3578E-02  0.3663E-01  0.5572E-01  0.9235E-01  0.9801E-03  0.1960E-03
190             9181  787844  0.3637E-02  0.3732E-01  0.5600E-01  0.9332E-01  0.9981E-03  0.1996E-03
190             9017  782887  0.3709E-02  0.3796E-01  0.5655E-01  0.9450E-01  0.1014E-02  0.2028E-03
190             9017  777887  0.3806E-02  0.3883E-01  0.5755E-01  0.9638E-01  0.1035E-02  0.2070E-03
190             9017  772887  0.3881E-02  0.3950E-01  0.5792E-01  0.9742E-01  0.1050E-02  0.2099E-03
190             9017  767887  0.3958E-02  0.4005E-01  0.5855E-01  0.9860E-01  0.1068E-02  0.2137E-03
190             9017  762887  0.4041E-02  0.4065E-01  0.5924E-01  0.9988E-01  0.1088E-02  0.2176E-03
190             9017  757887  0.4107E-02  0.4111E-01  0.5958E-01  0.1007E+00  0.1104E-02  0.2207E-03
190             9017  752887  0.4221E-02  0.4200E-01  0.6064E-01  0.1026E+00  0.1128E-02  0.2256E-03
190             9017  747887  0.4314E-02  0.4281E-01  0.6143E-01  0.1042E+00  0.1151E-02  0.2302E-03
190             8836  743046  0.4373E-02  0.4339E-01  0.6192E-01  0.1053E+00  0.1171E-02  0.2342E-03
190             7490  739197  0.4457E-02  0.4498E-01  0.6233E-01  0.1073E+00  0.1211E-02  0.2423E-03
191             8982  701934  0.5436E-02  0.5438E-01  0.6781E-01  0.1222E+00  0.1431E-02  0.2862E-03
191             9017  697887  0.5605E-02  0.5596E-01  0.6896E-01  0.1249E+00  0.1466E-02  0.2932E-03
191             9017  692887  0.5727E-02  0.5706E-01  0.6938E-01  0.1264E+00  0.1493E-02  0.2986E-03
191             9017  687887  0.5919E-02  0.5902E-01  0.7099E-01  0.1300E+00  0.1543E-02  0.3087E-03
191             9017  682887  0.6082E-02  0.6103E-01  0.7113E-01  0.1322E+00  0.1600E-02  0.3200E-03
191             9017  677887  0.6282E-02  0.6290E-01  0.7236E-01  0.1353E+00  0.1641E-02  0.3282E-03
191             9017  672887  0.6486E-02  0.5966E-01  0.7345E-01  0.1331E+00  0.1683E-02  0.3365E-03
191             9017  667887  0.6652E-02  0.6150E-01  0.7427E-01  0.1358E+00  0.1737E-02  0.3473E-03
191             9017  662887  0.6863E-02  0.6363E-01  0.7557E-01  0.1392E+00  0.1791E-02  0.3583E-03
191             9017  657887  0.7097E-02  0.6614E-01  0.7692E-01  0.1431E+00  0.1858E-02  0.3717E-03
191             9083  654534  0.7229E-02  0.6766E-01  0.7736E-01  0.1450E+00  0.1900E-02  0.3801E-03
162            10368  401463  0.3609E-01  0.2961E+00  0.9470E-01  0.3908E+00  0.6668E-02  0.3696E-02
159             8258  397105  0.3531E-01  0.2958E+00  0.9386E-01  0.3897E+00  0.6703E-02  0.3501E-02
162             9920  398644  0.3594E-01  0.2989E+00  0.9399E-01  0.3929E+00  0.6680E-02  0.3477E-02
159             9017  392887  0.3533E-01  0.2942E+00  0.9500E-01  0.3892E+00  0.6773E-02  0.3746E-02
159             9439  388410  0.3555E-01  0.2946E+00  0.9591E-01  0.3905E+00  0.6927E-02  0.3998E-02
159            11165  383841  0.3697E-01  0.2984E+00  0.1184E+00  0.4168E+00  0.7775E-02  0.5048E-02
190            15953  820155  0.3206E-02  0.3363E-01  0.5265E-01  0.8627E-01  0.9030E-03  0.1806E-03
190            15028  814864  0.3287E-02  0.3444E-01  0.5351E-01  0.8795E-01  0.9220E-03  0.1844E-03
190            14334  810143  0.3351E-02  0.3506E-01  0.5401E-01  0.8906E-01  0.9357E-03  0.1871E-03
