name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190               41  733157  0.2007E-01  0.2129E+00  0.2810E+00  0.4940E+00  0.5777E-02  0.1155E-02
190            -1291  729422  0.2020E-01  0.2157E+00  0.2791E+00  0.4948E+00  0.5840E-02  0.1168E-02
191              331  702076  0.2324E-01  0.2501E+00  0.2964E+00  0.5465E+00  0.6608E-02  0.1322E-02
191              356  697887  0.2358E-01  0.2548E+00  0.2946E+00  0.5494E+00  0.6713E-02  0.1343E-02
191              356  692887  0.2428E-01  0.2629E+00  0.2980E+00  0.5609E+00  0.6887E-02  0.1377E-02
191              356  687887  0.2482E-01  0.2697E+00  0.2994E+00  0.5690E+00  0.7025E-02  0.1405E-02
191              356  682887  0.2522E-01  0.2762E+00  0.3008E+00  0.5770E+00  0.7171E-02  0.1434E-02
191              356  677887  0.2597E-01  0.2853E+00  0.3044E+00  0.5898E+00  0.7345E-02  0.1469E-02
191              356  672887  0.2672E-01  0.2637E+00  0.3068E+00  0.5705E+00  0.7474E-02  0.1495E-02
191              356  667887  0.2756E-01  0.2730E+00  0.3102E+00  0.5832E+00  0.7714E-02  0.1543E-02
191              356  662887  0.2849E-01  0.2834E+00  0.3147E+00  0.5981E+00  0.7998E-02  0.1600E-02
191              356  657887  0.2919E-01  0.2909E+00  0.3185E+00  0.6094E+00  0.8155E-02  0.1631E-02
191              431  654767  0.2981E-01  0.2979E+00  0.3208E+00  0.6187E+00  0.8347E-02  0.1669E-02
159             1788  395449  0.1133E+00  0.1045E+01  0.5360E+00  0.1581E+01  0.3001E-01  0.1529E-01
159             1739  393617  0.1124E+00  0.1038E+01  0.5370E+00  0.1575E+01  0.3001E-01  0.1563E-01
190             6587  784792  0.1716E-01  0.1848E+00  0.2675E+00  0.4523E+00  0.4962E-02  0.9924E-03
190             5898  780094  0.1735E-01  0.1850E+00  0.2675E+00  0.4524E+00  0.4969E-02  0.9939E-03
