name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
191              356  667887  0.9161E-01 -0.1507E+03  0.5786E+02 -0.9287E+02  0.3870E+00
191              356  662887  0.9422E-01 -0.1484E+03  0.5862E+02 -0.8979E+02  0.3918E+00
191              356  657887  0.9677E-01 -0.1461E+03  0.5935E+02 -0.8674E+02  0.3965E+00
191              431  654767  0.9840E-01 -0.1417E+03  0.5979E+02 -0.8186E+02  0.3994E+00
159             1788  395449  0.6680E+00 -0.1604E+02  0.1279E+03  0.1119E+03  0.7106E+00
159             1739  393617  0.6979E+00 -0.1244E+02  0.1302E+03  0.1177E+03  0.7086E+00
190             6587  784792  0.4812E-01  0.8860E+01  0.4417E+02  0.5303E+02  0.3072E+00
190             5898  780094  0.4895E-01  0.8977E+01  0.4466E+02  0.5363E+02  0.3109E+00
190             5229  775224  0.4987E-01  0.9099E+01  0.4515E+02  0.5425E+02  0.3144E+00
190             4736  770381  0.5080E-01  0.9219E+01  0.4566E+02  0.5488E+02  0.3181E+00
190             4686  765387  0.5181E-01  0.9349E+01  0.4617E+02  0.5552E+02  0.3220E+00
190             4686  760387  0.5283E-01  0.9481E+01  0.4668E+02  0.5616E+02  0.3259E+00
190             4686  755387  0.5388E-01  0.9616E+01  0.4723E+02  0.5684E+02  0.3300E+00
190             4686  750387  0.5495E-01  0.9754E+01  0.4780E+02  0.5755E+02  0.3343E+00
190             4686  745387  0.5607E-01  0.9901E+01  0.4834E+02  0.5824E+02  0.3385E+00
190             4686  740387  0.5731E-01  0.1005E+02  0.4891E+02  0.5896E+02  0.3426E+00
190             3854  736202  0.5828E-01  0.1018E+02  0.4940E+02  0.5957E+02  0.3459E+00
191             4610  703102  0.6828E-01  0.1138E+02  0.5388E+02  0.6526E+02  0.3772E+00
191             4686  700387  0.6921E-01  0.1149E+02  0.5432E+02  0.6580E+02  0.3801E+00
191             4686  695387  0.7095E-01  0.1169E+02  0.5512E+02  0.6681E+02  0.3851E+00
191             4686  690387  0.7283E-01  0.1192E+02  0.5608E+02  0.6799E+02  0.3911E+00
191             4686  685387  0.7478E-01  0.1215E+02  0.5714E+02  0.6929E+02  0.3976E+00
191             4686  680387  0.7696E-01  0.1240E+02  0.5834E+02  0.7074E+02  0.4043E+00
191             4686  675387  0.7935E-01  0.1268E+02  0.5960E+02  0.7228E+02  0.4117E+00
191             4686  670387  0.9153E-01 -0.1575E+03  0.5774E+02 -0.9972E+02  0.3856E+00
191             4686  665387  0.9421E-01 -0.1553E+03  0.5860E+02 -0.9667E+02  0.3909E+00
191             4686  660387  0.9696E-01 -0.1530E+03  0.5936E+02 -0.9362E+02  0.3954E+00
191             4703  655817  0.9935E-01 -0.1503E+03  0.6003E+02 -0.9027E+02  0.3998E+00
159             6076  398315  0.6382E+00 -0.1490E+02  0.1263E+03  0.1114E+03  0.6978E+00
159             4829  395187  0.6833E+00 -0.1284E+02  0.1297E+03  0.1168E+03  0.7004E+00
159             5252  391155  0.7558E+00 -0.3405E+01  0.1351E+03  0.1317E+03  0.6910E+00
190            11196  802308  0.4541E-01  0.8471E+01  0.4242E+02  0.5089E+02  0.2949E+00
