name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
191              356  667887  0.1320E-04 -0.1858E-01  0.3290E-02 -0.1529E-01  0.4378E-04
191              356  662887  0.1432E-04 -0.1920E-01  0.3306E-02 -0.1589E-01  0.4264E-04
191              356  657887  0.1368E-04 -0.2003E-01  0.3269E-02 -0.1676E-01  0.3599E-04
191              431  654767  0.1419E-04 -0.1977E-01  0.3335E-02 -0.1643E-01  0.3642E-04
159             1788  395449  0.6467E-04 -0.1461E-02  0.5575E-02  0.4114E-02  0.5899E-04
159             1739  393617  0.6390E-04 -0.9652E-03  0.5571E-02  0.4606E-02  0.5916E-04
190             6587  784792  0.1802E-05  0.4198E-03  0.2444E-02  0.2864E-02  0.2423E-04
190             5898  780094  0.1925E-05  0.4405E-03  0.2428E-02  0.2869E-02  0.2501E-04
190             5229  775224  0.2051E-05  0.4631E-03  0.2408E-02  0.2871E-02  0.2585E-04
190             4736  770381  0.2145E-05  0.4801E-03  0.2405E-02  0.2885E-02  0.2641E-04
190             4686  765387  0.2351E-05  0.5091E-03  0.2358E-02  0.2867E-02  0.2725E-04
190             4686  760387  0.2519E-05  0.5327E-03  0.2365E-02  0.2897E-02  0.2811E-04
190             4686  755387  0.2732E-05  0.5644E-03  0.2326E-02  0.2891E-02  0.2913E-04
190             4686  750387  0.2752E-05  0.5919E-03  0.2299E-02  0.2891E-02  0.3011E-04
190             4686  745387  0.2969E-05  0.6310E-03  0.2305E-02  0.2936E-02  0.3123E-04
190             4686  740387  0.3250E-05  0.6690E-03  0.2295E-02  0.2964E-02  0.3226E-04
190             3854  736202  0.3400E-05  0.6999E-03  0.2366E-02  0.3066E-02  0.3334E-04
191             4610  703102  0.6131E-05  0.1018E-02  0.2844E-02  0.3862E-02  0.3857E-04
191             4686  700387  0.5783E-05  0.1026E-02  0.2900E-02  0.3925E-02  0.3993E-04
191             4686  695387  0.6218E-05  0.1078E-02  0.2978E-02  0.4056E-02  0.4098E-04
191             4686  690387  0.7269E-05  0.1152E-02  0.3046E-02  0.4198E-02  0.4094E-04
191             4686  685387  0.8236E-05  0.1235E-02  0.3163E-02  0.4398E-02  0.4170E-04
191             4686  680387  0.9104E-05  0.1305E-02  0.3258E-02  0.4563E-02  0.4209E-04
191             4686  675387  0.9440E-05  0.1374E-02  0.3357E-02  0.4732E-02  0.4406E-04
191             4686  670387  0.1329E-04 -0.1963E-01  0.3352E-02 -0.1628E-01  0.4399E-04
191             4686  665387  0.1404E-04 -0.1982E-01  0.3439E-02 -0.1638E-01  0.4441E-04
191             4686  660387  0.1524E-04 -0.2049E-01  0.3419E-02 -0.1707E-01  0.4359E-04
191             4703  655817  0.1462E-04 -0.2134E-01  0.3403E-02 -0.1794E-01  0.3686E-04
159             6076  398315  0.7105E-04 -0.1749E-02  0.5947E-02  0.4198E-02  0.5977E-04
159             4829  395187  0.6797E-04 -0.1241E-02  0.5720E-02  0.4479E-02  0.5818E-04
159             5252  391155  0.6925E-04 -0.2301E-03  0.5646E-02  0.5416E-02  0.5452E-04
190            11196  802308  0.1220E-05  0.3502E-03  0.2447E-02  0.2797E-02  0.2236E-04
190            10446  797499  0.1323E-05  0.3690E-03  0.2457E-02  0.2826E-02  0.2309E-04
190             9753  792686  0.1641E-05  0.3979E-03  0.2458E-02  0.2856E-02  0.2355E-04
190             9181  787844  0.1721E-05  0.4121E-03  0.2476E-02  0.2888E-02  0.2399E-04
190             9017  782887  0.1866E-05  0.4312E-03  0.2496E-02  0.2927E-02  0.2465E-04
190             9017  777887  0.2060E-05  0.4572E-03  0.2467E-02  0.2924E-02  0.2532E-04
190             9017  772887  0.2204E-05  0.4835E-03  0.2453E-02  0.2936E-02  0.2633E-04
190             9017  767887  0.2333E-05  0.5054E-03  0.2479E-02  0.2984E-02  0.2707E-04
190             9017  762887  0.2517E-05  0.5344E-03  0.2439E-02  0.2973E-02  0.2801E-04
190             9017  757887  0.2706E-05  0.5602E-03  0.2440E-02  0.3000E-02  0.2885E-04
190             9017  752887  0.2846E-05  0.5970E-03  0.2403E-02  0.3000E-02  0.3019E-04
190             9017  747887  0.3012E-05  0.6235E-03  0.2394E-02  0.3017E-02  0.3079E-04
190             8836  743046  0.3267E-05  0.6592E-03  0.2398E-02  0.3057E-02  0.3182E-04
190             7490  739197  0.3419E-05  0.6913E-03  0.2336E-02  0.3027E-02  0.3272E-04
191             8982  701934  0.5945E-05  0.1048E-02  0.2948E-02  0.3995E-02  0.4048E-04
191             9017  697887  0.6325E-05  0.1088E-02  0.3001E-02  0.4089E-02  0.4101E-04
191             9017  692887  0.7653E-05  0.1184E-02  0.3096E-02  0.4280E-02  0.4117E-04
191             9017  687887  0.8340E-05  0.1242E-02  0.3174E-02  0.4415E-02  0.4153E-04
191             9017  682887  0.9234E-05  0.1314E-02  0.3274E-02  0.4588E-02  0.4194E-04
191             9017  677887  0.9627E-05  0.1381E-02  0.3366E-02  0.4747E-02  0.4363E-04
191             9017  672887  0.1352E-04 -0.1817E-01  0.3451E-02 -0.1472E-01  0.4356E-04
191             9017  667887  0.1482E-04 -0.2034E-01  0.3448E-02 -0.1689E-01  0.4343E-04
191             9017  662887  0.1543E-04 -0.2043E-01  0.3522E-02 -0.1690E-01  0.4431E-04
191             9017  657887  0.1481E-04 -0.2114E-01  0.3505E-02 -0.1763E-01  0.3786E-04
191             9083  654534  0.1521E-04 -0.2070E-01  0.3543E-02 -0.1715E-01  0.3821E-04
162            10368  401463  0.7910E-04 -0.9284E-04  0.6476E-02  0.6383E-02  0.5782E-04
159             8258  397105  0.7413E-04 -0.1405E-02  0.6078E-02  0.4673E-02  0.5665E-04
