id,snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component,catnr,sector,A,B,C,D
"3632","2017","38800","383990",0.002495,28.269,175,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
"3633","2017","65988","441687",0.01493,49.313,55,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
"3634","2017","66018","441750",0.05147,49.313,55,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
"3635","2017","99072","411319",0.1267,11.734,50,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
"3636","2017","117959","491138",0.01288,41.614,60,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
"3637","2017","252441","608022",0.07903,55.661,85,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
"3638","2017","252485","608011",0.002527,54.065,85,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
"3639","2017","252533","608000",0.1175,53.925,85,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
"3640","2017","261337","592991",0.2913,12.752,80,"0",0,"1","2100","528","0",NH3,"2100",Energie,Electriciteitscentrales,,,
