name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.4284E-01  0.6086E+01  0.3917E+01  0.1000E+02  0.6054E-02
190           226576  563508  0.4274E-01  0.6073E+01  0.3913E+01  0.9987E+01  0.6045E-02
190           226483  563561  0.4264E-01  0.6060E+01  0.3909E+01  0.9970E+01  0.6038E-02
190           226669  563561  0.4282E-01  0.6082E+01  0.3916E+01  0.9998E+01  0.6050E-02
190           226204  563615  0.4241E-01  0.6031E+01  0.3899E+01  0.9929E+01  0.6014E-02
190           226390  563615  0.4254E-01  0.6046E+01  0.3904E+01  0.9950E+01  0.6028E-02
190           226576  563615  0.4269E-01  0.6065E+01  0.3911E+01  0.9976E+01  0.6040E-02
190           226297  563669  0.4246E-01  0.6035E+01  0.3901E+01  0.9936E+01  0.6019E-02
190           226483  563669  0.4260E-01  0.6054E+01  0.3908E+01  0.9962E+01  0.6033E-02
190           226669  563669  0.4277E-01  0.6074E+01  0.3914E+01  0.9988E+01  0.6046E-02
190           226204  563723  0.4237E-01  0.6023E+01  0.3898E+01  0.9921E+01  0.6011E-02
190           226390  563723  0.4251E-01  0.6041E+01  0.3904E+01  0.9944E+01  0.6026E-02
190           226576  563723  0.4267E-01  0.6060E+01  0.3910E+01  0.9970E+01  0.6037E-02
190           226297  563776  0.4241E-01  0.6028E+01  0.3899E+01  0.9927E+01  0.6017E-02
190           226483  563776  0.4257E-01  0.6047E+01  0.3906E+01  0.9953E+01  0.6031E-02
190           226669  563776  0.4274E-01  0.6068E+01  0.3913E+01  0.9980E+01  0.6044E-02
190           226204  563830  0.4231E-01  0.6015E+01  0.3895E+01  0.9910E+01  0.6009E-02
190           226390  563830  0.4246E-01  0.6033E+01  0.3902E+01  0.9935E+01  0.6023E-02
190           226576  563830  0.4262E-01  0.6053E+01  0.3908E+01  0.9961E+01  0.6036E-02
190           226111  563884  0.4223E-01  0.6004E+01  0.3890E+01  0.9894E+01  0.5999E-02
190           226297  563884  0.4237E-01  0.6021E+01  0.3898E+01  0.9918E+01  0.6011E-02
190           226483  563884  0.4253E-01  0.6041E+01  0.3905E+01  0.9946E+01  0.6027E-02
190           226204  563938  0.4228E-01  0.6009E+01  0.3892E+01  0.9901E+01  0.6005E-02
190           226390  563938  0.4242E-01  0.6026E+01  0.3900E+01  0.9927E+01  0.6017E-02
190           226576  563938  0.4259E-01  0.6046E+01  0.3907E+01  0.9953E+01  0.6031E-02
190           226111  563991  0.4218E-01  0.5996E+01  0.3887E+01  0.9883E+01  0.5996E-02
190           226297  563991  0.4233E-01  0.6013E+01  0.3896E+01  0.9909E+01  0.6008E-02
190           226483  563991  0.4249E-01  0.6034E+01  0.3904E+01  0.9938E+01  0.6022E-02
190           226204  564045  0.4240E-01  0.8033E+01  0.4133E+01  0.1217E+02  0.5550E-02
204           226204  564045  0.4240E-01  0.8033E+01  0.4133E+01  0.1217E+02  0.5550E-02
190           226390  564045  0.4253E-01  0.8056E+01  0.4143E+01  0.1220E+02  0.5557E-02
190           226576  564045  0.4270E-01  0.8084E+01  0.4150E+01  0.1223E+02  0.5568E-02
190           226111  564099  0.4231E-01  0.8017E+01  0.4129E+01  0.1215E+02  0.5545E-02
204           226111  564099  0.4231E-01  0.8017E+01  0.4129E+01  0.1215E+02  0.5545E-02
190           226297  564099  0.4245E-01  0.8040E+01  0.4137E+01  0.1218E+02  0.5553E-02
204           226297  564099  0.4245E-01  0.8040E+01  0.4137E+01  0.1218E+02  0.5553E-02
190           226483  564099  0.4260E-01  0.8066E+01  0.4147E+01  0.1221E+02  0.5562E-02
190           226204  564152  0.4235E-01  0.8023E+01  0.4131E+01  0.1215E+02  0.5546E-02
204           226204  564152  0.4235E-01  0.8023E+01  0.4131E+01  0.1215E+02  0.5546E-02
190           226390  564152  0.4250E-01  0.8047E+01  0.4140E+01  0.1219E+02  0.5555E-02
190           226576  564152  0.4266E-01  0.8076E+01  0.4148E+01  0.1222E+02  0.5564E-02
190           226297  564206  0.4240E-01  0.8030E+01  0.4133E+01  0.1216E+02  0.5547E-02
 
