name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.1123E+00  0.1776E+02  0.1355E+02  0.3132E+02  0.1436E-01
190           226576  563508  0.1124E+00  0.1779E+02  0.1356E+02  0.3135E+02  0.1435E-01
190           226483  563561  0.1125E+00  0.1781E+02  0.1358E+02  0.3139E+02  0.1435E-01
190           226669  563561  0.1123E+00  0.1776E+02  0.1355E+02  0.3131E+02  0.1435E-01
190           226204  563615  0.1129E+00  0.1788E+02  0.1361E+02  0.3150E+02  0.1435E-01
190           226390  563615  0.1126E+00  0.1783E+02  0.1358E+02  0.3141E+02  0.1435E-01
190           226576  563615  0.1123E+00  0.1778E+02  0.1356E+02  0.3134E+02  0.1434E-01
190           226297  563669  0.1127E+00  0.1786E+02  0.1360E+02  0.3145E+02  0.1435E-01
190           226483  563669  0.1125E+00  0.1781E+02  0.1357E+02  0.3138E+02  0.1434E-01
190           226669  563669  0.1123E+00  0.1775E+02  0.1355E+02  0.3130E+02  0.1434E-01
190           226204  563723  0.1129E+00  0.1788E+02  0.1361E+02  0.3149E+02  0.1434E-01
190           226390  563723  0.1126E+00  0.1782E+02  0.1358E+02  0.3141E+02  0.1435E-01
190           226576  563723  0.1123E+00  0.1777E+02  0.1356E+02  0.3133E+02  0.1434E-01
190           226297  563776  0.1127E+00  0.1785E+02  0.1360E+02  0.3145E+02  0.1434E-01
190           226483  563776  0.1125E+00  0.1780E+02  0.1357E+02  0.3137E+02  0.1434E-01
190           226669  563776  0.1122E+00  0.1775E+02  0.1355E+02  0.3129E+02  0.1434E-01
190           226204  563830  0.1128E+00  0.1787E+02  0.1361E+02  0.3148E+02  0.1434E-01
190           226390  563830  0.1125E+00  0.1782E+02  0.1358E+02  0.3140E+02  0.1434E-01
190           226576  563830  0.1123E+00  0.1777E+02  0.1355E+02  0.3132E+02  0.1434E-01
190           226111  563884  0.1129E+00  0.1790E+02  0.1362E+02  0.3152E+02  0.1433E-01
190           226297  563884  0.1127E+00  0.1785E+02  0.1360E+02  0.3144E+02  0.1433E-01
190           226483  563884  0.1124E+00  0.1780E+02  0.1357E+02  0.3137E+02  0.1433E-01
190           226204  563938  0.1128E+00  0.1787E+02  0.1360E+02  0.3148E+02  0.1433E-01
190           226390  563938  0.1125E+00  0.1782E+02  0.1358E+02  0.3139E+02  0.1433E-01
190           226576  563938  0.1123E+00  0.1776E+02  0.1355E+02  0.3132E+02  0.1433E-01
190           226111  563991  0.1129E+00  0.1790E+02  0.1361E+02  0.3151E+02  0.1433E-01
190           226297  563991  0.1126E+00  0.1784E+02  0.1359E+02  0.3144E+02  0.1433E-01
190           226483  563991  0.1124E+00  0.1779E+02  0.1357E+02  0.3136E+02  0.1433E-01
190           226204  564045  0.1116E+00  0.2361E+02  0.1454E+02  0.3815E+02  0.1353E-01
204           226204  564045  0.1116E+00  0.2361E+02  0.1454E+02  0.3815E+02  0.1353E-01
190           226390  564045  0.1114E+00  0.2355E+02  0.1452E+02  0.3806E+02  0.1353E-01
190           226576  564045  0.1112E+00  0.2349E+02  0.1449E+02  0.3798E+02  0.1353E-01
190           226111  564099  0.1117E+00  0.2364E+02  0.1455E+02  0.3819E+02  0.1352E-01
204           226111  564099  0.1117E+00  0.2364E+02  0.1455E+02  0.3819E+02  0.1352E-01
190           226297  564099  0.1115E+00  0.2358E+02  0.1453E+02  0.3810E+02  0.1353E-01
204           226297  564099  0.1115E+00  0.2358E+02  0.1453E+02  0.3810E+02  0.1353E-01
190           226483  564099  0.1113E+00  0.2352E+02  0.1450E+02  0.3802E+02  0.1353E-01
190           226204  564152  0.1116E+00  0.2361E+02  0.1454E+02  0.3814E+02  0.1352E-01
204           226204  564152  0.1116E+00  0.2361E+02  0.1454E+02  0.3814E+02  0.1352E-01
190           226390  564152  0.1114E+00  0.2354E+02  0.1451E+02  0.3805E+02  0.1352E-01
190           226576  564152  0.1112E+00  0.2348E+02  0.1449E+02  0.3797E+02  0.1352E-01
190           226297  564206  0.1115E+00  0.2357E+02  0.1452E+02  0.3809E+02  0.1352E-01
 
