name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
166           184048  370784  0.1800E+00  0.1791E+02  0.4015E+01  0.2192E+02  0.4786E-02
166           183769  370837  0.1964E+00  0.1518E+02  0.4014E+01  0.1919E+02  0.4780E-02
166           184141  370837  0.1713E+00  0.1766E+02  0.4010E+01  0.2167E+02  0.4791E-02
166           184327  370837  0.1682E+00  0.1746E+02  0.4014E+01  0.2147E+02  0.4803E-02
166           184513  370837  0.1681E+00  0.1748E+02  0.4019E+01  0.2150E+02  0.4819E-02
166           183676  370891  0.1920E+00  0.1523E+02  0.4006E+01  0.1923E+02  0.4772E-02
166           184048  370891  0.1680E+00  0.1769E+02  0.4007E+01  0.2170E+02  0.4785E-02
166           184234  370891  0.1646E+00  0.1769E+02  0.4009E+01  0.2170E+02  0.4794E-02
167           184234  370891  0.1646E+00  0.1769E+02  0.4009E+01  0.2170E+02  0.4794E-02
166           184420  370891  0.1640E+00  0.1789E+02  0.4013E+01  0.2190E+02  0.4808E-02
166           184606  370891  0.1649E+00  0.1797E+02  0.4021E+01  0.2199E+02  0.4824E-02
166           184792  370891  0.1670E+00  0.1803E+02  0.4029E+01  0.2206E+02  0.4841E-02
493           184978  370891  0.1723E+00  0.1828E+02  0.4047E+01  0.2233E+02  0.4859E-02
166           183769  370945  0.1797E+00  0.1482E+02  0.4000E+01  0.1881E+02  0.4776E-02
535           183955  370945  0.1728E+00  0.1470E+02  0.4007E+01  0.1871E+02  0.4791E-02
166           184141  370945  0.1590E+00  0.1772E+02  0.4002E+01  0.2172E+02  0.4786E-02
167           184141  370945  0.1590E+00  0.1772E+02  0.4002E+01  0.2172E+02  0.4786E-02
166           184327  370945  0.1579E+00  0.1768E+02  0.4004E+01  0.2169E+02  0.4798E-02
166           184513  370945  0.1581E+00  0.1736E+02  0.4006E+01  0.2137E+02  0.4813E-02
166           184699  370945  0.1597E+00  0.1739E+02  0.4018E+01  0.2141E+02  0.4831E-02
493           184885  370945  0.1635E+00  0.1762E+02  0.4028E+01  0.2165E+02  0.4851E-02
493           185071  370945  0.1846E+00  0.1414E+02  0.4043E+01  0.1819E+02  0.4988E-02
166           183676  370999  0.1449E+00  0.1267E+02  0.3984E+01  0.1666E+02  0.4767E-02
166           183862  370999  0.1431E+00  0.1258E+02  0.3986E+01  0.1656E+02  0.4780E-02
535           184048  370999  0.1319E+00  0.1482E+02  0.3986E+01  0.1880E+02  0.4777E-02
166           184234  370999  0.1325E+00  0.1541E+02  0.3988E+01  0.1940E+02  0.4786E-02
167           184234  370999  0.1325E+00  0.1541E+02  0.3988E+01  0.1940E+02  0.4786E-02
166           184420  370999  0.1319E+00  0.1531E+02  0.3993E+01  0.1930E+02  0.4800E-02
166           184606  370999  0.1329E+00  0.1538E+02  0.4001E+01  0.1938E+02  0.4815E-02
493           184792  370999  0.1356E+00  0.1542E+02  0.4013E+01  0.1943E+02  0.4834E-02
493           184978  370999  0.1462E+00  0.1616E+02  0.4031E+01  0.2019E+02  0.4857E-02
493           185165  370999  0.1788E+00  0.1383E+02  0.4045E+01  0.1788E+02  0.4995E-02
166           183582  371052  0.1026E+00  0.8173E+01  0.3949E+01  0.1212E+02  0.4761E-02
166           183769  371052  0.1017E+00  0.8104E+01  0.3952E+01  0.1206E+02  0.4773E-02
535           183769  371052  0.1017E+00  0.8104E+01  0.3952E+01  0.1206E+02  0.4773E-02
166           183955  371052  0.9988E-01  0.7992E+01  0.3955E+01  0.1195E+02  0.4788E-02
220           183955  371052  0.9988E-01  0.7992E+01  0.3955E+01  0.1195E+02  0.4788E-02
535           183955  371052  0.9988E-01  0.7992E+01  0.3955E+01  0.1195E+02  0.4788E-02
166           184141  371052  0.9312E-01  0.7928E+01  0.3958E+01  0.1189E+02  0.4922E-02
166           184327  371052  0.9207E-01  0.7818E+01  0.3963E+01  0.1178E+02  0.4930E-02
167           184327  371052  0.9207E-01  0.7818E+01  0.3963E+01  0.1178E+02  0.4930E-02
166           184513  371052  0.9233E-01  0.7818E+01  0.3972E+01  0.1179E+02  0.4945E-02
166           184699  371052  0.9401E-01  0.7933E+01  0.3980E+01  0.1191E+02  0.4963E-02
493           184885  371052  0.9847E-01  0.8187E+01  0.3991E+01  0.1218E+02  0.4987E-02
493           185071  371052  0.1575E+00  0.1445E+02  0.4021E+01  0.1848E+02  0.4829E-02
166           183303  371106  0.9681E-01  0.7666E+01  0.3936E+01  0.1160E+02  0.4754E-02
166           183489  371106  0.9494E-01  0.7527E+01  0.3936E+01  0.1146E+02  0.4760E-02
166           183676  371106  0.9399E-01  0.7462E+01  0.3938E+01  0.1140E+02  0.4769E-02
535           183862  371106  0.9262E-01  0.7357E+01  0.3938E+01  0.1130E+02  0.4782E-02
166           184048  371106  0.8763E-01  0.7407E+01  0.3941E+01  0.1135E+02  0.4917E-02
220           184048  371106  0.8763E-01  0.7407E+01  0.3941E+01  0.1135E+02  0.4917E-02
535           184048  371106  0.8763E-01  0.7407E+01  0.3941E+01  0.1135E+02  0.4917E-02
166           184234  371106  0.8578E-01  0.7242E+01  0.3949E+01  0.1119E+02  0.4926E-02
167           184234  371106  0.8578E-01  0.7242E+01  0.3949E+01  0.1119E+02  0.4926E-02
166           184420  371106  0.8540E-01  0.7190E+01  0.3954E+01  0.1114E+02  0.4937E-02
166           184606  371106  0.8635E-01  0.7238E+01  0.3962E+01  0.1120E+02  0.4952E-02
166           184792  371106  0.8900E-01  0.7410E+01  0.3972E+01  0.1138E+02  0.4972E-02
493           184792  371106  0.8900E-01  0.7410E+01  0.3972E+01  0.1138E+02  0.4972E-02
493           184978  371106  0.1019E+00  0.8303E+01  0.3990E+01  0.1229E+02  0.4998E-02
