x	y	tot_dep-mol~ha~y
34997	802887	111.564
34997	807887	110.771
34997	812887	110.014
34997	817887	109.239
34997	822887	108.438
34997	827887	107.669
34997	832887	106.974
34997	837887	106.269
35000	422883	171.01
35010	842866	105.563
35182	378670	186.14
35388	398253	187.42
36074	426389	169.83
36196	846311	105.109
37072	394212	201.9
37326	403144	177.21
37332	413092	242.98
37718	771805	116.61
37759	406681	190.03
37821	384020	193.02
38142	409556	176.15
38177	416755	222.51
38643	411983	354.81
38704	395155	268.72
39072	775606	115.9
39233	380192	186.82
39327	420387	172.57
39327	425387	170.78
39327	780387	115.138
39327	785387	114.274
39327	790387	113.496
39327	795387	112.682
39327	800387	111.918
39327	805387	111.135
39327	810387	110.374
39327	815387	109.559
39327	820387	108.748
39327	825387	108.026
39327	830387	107.316
39327	835387	106.638
39327	840387	105.938
39327	845387	105.149
39518	415071	244.26
39598	402332	177.06
39671	376182	188.24
39917	404948	176.76
40251	428925	169.14
40323	849023	104.649
40767	409513	176.05
41136	413404	283.2
42569	380976	187.73
42891	417355	255.07
42896	778633	115.36
43374	396621	208.13
43502	403691	177.54
43539	419125	173.1
43555	377751	189
43658	407887	176.24
43658	422887	172.42
43658	427887	170.38
43658	782887	114.735
43658	787887	113.861
43658	792887	113.08
43658	797887	112.267
43658	802887	111.487
43658	807887	110.753
43658	812887	109.943
43658	817887	109.127
43658	822887	108.416
43658	827887	107.695
43658	832887	106.955
43658	837887	106.266
43658	842887	105.598
43658	847887	104.83
44055	374730	198.6
44505	411774	174.75
44544	432149	169.17
44982	360715	279.96
45019	359734	296.22
45274	360316	290.99
46539	781629	114.88
46661	417879	240.87
46725	417934	240.96
47228	849425	104.624
47368	420980	173.08
47511	413408	201.68
47683	396545	210.33
47726	425409	172.11
47840	410197	175.72
47864	785502	114.267
47982	375478	192.71
47988	405388	177.74
47988	430387	170.43
47988	790387	113.489
47988	795387	112.615
47988	800387	111.839
47988	805387	111.135
47988	810387	110.333
47988	815387	109.495
47988	820387	108.743
47988	825387	108.041
47988	830387	107.338
47988	835387	106.629
47988	840387	105.959
47988	845387	105.192
48146	435275	167.98
48359	378712	189.89
48815	417836	242.64
49091	419267	234.83
49320	402034	192.21
49353	439160	166.54
49786	422909	174.12
49808	425182	212.37
49918	396260	218.35
51003	374883	259.84
51059	407374	211.94
51226	846610	104.927
51374	424331	225.56
51705	788468	113.746
52066	428656	170.28
52318	402887	179.12
52318	432887	169.11
52318	437887	167.36
52318	792887	113.032
52318	797887	112.237
52318	802887	111.501
52318	807887	110.662
52318	812887	109.892
52318	817887	109.165
52318	822887	108.523
52318	827887	107.75
52318	832887	107.017
52318	837887	106.226
52318	842887	105.486
52341	377863	192.06
52554	426737	241.53
52634	418750	172.51
52658	422258	172.58
52679	397983	180.89
53068	442005	165.67
53467	385546	221.18
53606	382504	190.21
54315	393461	250.7
54679	428048	173.04
54962	392252	248.33
55153	376872	227.18
55254	843713	105.383
55397	791491	113.231
55648	427423	214.04
55997	440192	166.82
56071	404117	253.37
56314	380874	211.48
56393	400383	180.93
56472	384645	189.34
56496	430888	169.9
56555	840267	105.858
56625	795417	112.622
56642	428230	221.82
56648	420387	172.23
56648	435386	168.77
56648	800387	111.858
56648	805387	111.135
56648	810387	110.313
56648	815387	109.555
56648	820387	108.842
56648	825387	108.099
56648	830387	107.36
56648	835387	106.556
56708	395801	182.96
56786	423861	170.63
56863	444977	164.84
57321	428995	239.88
57618	416540	200.58
57915	373180	252.47
58575	389601	230.99
59083	410747	232.69
59445	795001	112.678
59491	373286	256
59544	840535	105.87
59975	389592	228.75
60007	390720	231.82
60038	427966	246.22
60097	422295	226.44
60112	378875	252.55
60167	445885	165.94
60188	397044	190.75
60196	428948	202.89
60406	382196	192.57
60506	798306	112.232
60588	432729	168.42
60642	837506	106.312
60719	403397	179.82
60846	417851	174.8
60978	802887	111.519
60978	807887	110.735
60978	812887	109.914
60978	817887	109.186
60978	822887	108.503
60978	827887	107.771
60978	832887	106.997
61068	436730	167.09
61180	445253	165.88
61367	413229	175.39
61378	393467	185.12
61907	378441	195.04
61944	429192	170.28
61952	406509	226.94
62282	426981	239.25
62345	425093	216.68
62495	434882	289.28
62544	433641	284.82
62558	445203	165.32
62989	437818	170.31
63002	435322	281.47
63109	388494	187.75
63304	436731	260.27
63357	430138	184.03
64270	801364	111.694
64290	430333	257.77
64332	436276	291.52
64416	428368	188.52
64547	429921	253.92
64731	834660	106.752
64784	413875	175.32
64953	379422	196.52
65024	393910	199.34
65240	404958	179.65
65308	805387	111.107
65308	810387	110.295
65308	815387	109.605
65308	820387	108.941
65308	825387	108.186
65308	830387	107.405
65311	390386	187.87
65331	411491	178.6
65394	425966	170.83
65581	438099	181.14
65714	427764	192.58
65777	376104	197.84
65993	386153	190.74
66808	402366	223.11
66809	409312	178.42
67625	445239	209.67
67990	804469	111.262
68496	412215	176.85
68747	410432	206.73
68789	831823	107.263
69013	392088	188.18
69184	408269	182.31
69306	808172	110.741
69323	426061	204.81
69366	447428	198.61
69395	384360	193.05
69404	402725	183.79
69638	387887	191.03
69638	812887	110.008
69638	817887	109.34
69638	822887	108.635
69638	827887	107.922
69658	373572	212.15
69692	377614	199.39
70003	423619	170.65
70368	444060	214.86
70582	410897	177.83
71270	408726	197.26
71272	391732	214.69
72002	406232	194.3
72193	372745	299.01
72270	443570	232.14
72655	389263	191.57
72752	829018	107.815
72833	385642	194.32
73023	372530	301.08
73115	811221	110.31
73122	379046	231.31
73191	375793	211.7
73352	451576	232.07
73374	409303	199.83
73513	373437	294.19
73546	423866	171
73901	390787	193.83
73959	825372	108.344
73968	815387	109.746
73968	820387	109.099
74192	406120	181.17
74370	387115	200.06
74386	453366	208.82
74505	421002	172.62
75232	388714	193.62
75648	385863	230.02
76009	454863	251.97
76633	422270	202.9
76751	814219	110.013
76870	454736	251.45
76892	826003	108.262
77316	386850	196.53
77317	456124	230.53
77450	405080	244.38
77564	423488	221.07
77572	384642	253.71
77889	604879	139.38
78102	818059	109.503
78135	822696	108.844
78263	407073	184.4
78364	417802	205.78
78848	607888	138.98
78888	612877	138.27
78925	617877	137.54
78962	622877	136.75
78998	627877	136.01
79035	632877	135.41
79072	637876	134.71
79109	642876	133.95
79321	415037	176.38
79422	646729	133.31
79823	385182	295.41
80174	459217	221.89
80224	386935	325.93
81416	607184	139.13
81430	820584	109.243
81712	418342	202.9
81956	389204	363.94
82009	407225	181.67
82069	380169	346.95
82596	610440	138.63
82606	460578	262.87
82629	415451	180.35
82629	615387	137.93
82629	620387	137.21
82629	625387	136.53
82629	630387	135.77
82629	635387	135.06
82629	640387	134.3
82629	645387	133.53
82824	386021	407.86
82936	412969	234.91
83035	380362	328.05
83368	649297	132.91
83539	375887	408.57
83621	409942	213.07
83756	429761	208.46
84065	380454	354.46
84284	464199	220.21
84771	376904	447.12
85086	381485	369.08
85096	387263	368.49
85119	382501	299.07
85172	374573	417.47
85297	409278	192.04
85515	411854	179.44
85651	463642	225.72
85671	609912	138.75
85722	414179	177.99
85749	416067	202.46
86249	377843	439.43
86826	466610	207.28
86872	613020	138.37
86959	617887	137.71
86959	622887	136.9
86959	627887	136.13
86959	632887	135.37
86959	637887	134.74
86959	642887	133.98
86959	647887	133.11
87227	375381	379.6
87241	428475	223.47
87576	651972	132.52
87989	470022	164.43
88001	413658	178.37
88422	375411	439.52
88620	471247	182
89026	471234	212.54
89926	612641	138.54
90514	428198	231.24
90925	413629	178.5
91120	615628	138.15
91248	427474	218.37
91289	620387	137.42
91289	625387	136.65
91289	630387	135.89
91289	635387	135.15
91289	640387	134.39
91289	645387	133.61
91289	650387	132.86
91542	414394	212.37
91600	476170	211.81
91791	654648	132.17
91893	411815	202.94
93125	479472	208.42
93408	420452	227.06
94181	615369	138.28
94947	479328	220.66
95085	421220	207.71
95279	427268	223.61
95354	618263	137.93
95419	412093	200.19
95619	622887	137.17
95619	627887	136.35
95619	632887	135.59
95619	637887	134.87
95619	642887	134.11
95619	647887	133.25
95619	652887	132.5
95624	418795	209.75
95963	413478	250.38
96009	657325	131.72
96057	482684	203.67
96680	486288	201.55
96950	413441	258.2
97304	519001	147.74
97429	458809	187.32
98163	458872	184.26
98281	481759	218.32
98345	522746	147.16
98362	492736	188.66
98459	532892	146.05
99106	414063	235.56
99225	485249	269.81
99413	412418	184.28
99591	620913	137.6
99843	490439	216.3
99949	625387	136.86
99949	630387	136.08
99949	635387	135.3
99949	640387	134.58
99949	645387	133.76
99949	650387	132.98
99949	655387	132.24
99995	520553	147.39
100229	660001	131.45
100356	535342	145.79
100400	494650	216.48
100439	530468	146.11
100457	525309	146.77
100615	413726	178.71
100682	540289	145.37
100955	545306	144.92
101169	550305	144.46
101225	501542	212.99
101388	662904	130.97
101466	555040	144.1
101554	487860	237.9
101918	504914	181.29
102152	559866	143.52
102503	414087	179.44
102522	493475	260.89
102557	510269	176.62
102818	519199	147.31
102907	496015	243.3
103025	523031	147
103196	503706	264.71
103379	528040	145.86
103734	507851	232.65
103828	623564	137.31
103904	512288	209.32
104026	532994	145.34
104151	432664	189.05
104279	537887	145.23
104279	542887	144.89
104279	547887	144.54
104279	552887	144.15
104279	557887	143.68
104279	627887	136.6
104279	632887	135.81
104279	637887	135.05
104279	642887	134.31
104279	647887	133.6
104279	652887	132.82
104279	657887	131.89
104444	662657	131.06
104539	414741	180.41
104589	562803	142.94
104606	517913	205.24
105028	520910	233.47
105181	567613	142.33
105194	526002	204.96
105243	416985	273.99
105371	523189	226.69
105638	665679	130.57
105704	528398	169.19
106072	571964	141.99
106529	532697	195.5
106571	529678	166.52
106702	535992	145.15
106772	532166	195.65
107051	524382	256.44
107072	534120	202.85
107102	520779	257.26
107386	540689	144.68
107596	522280	277.61
107909	545474	144.53
108051	560434	143.15
108062	626215	137.06
108104	536292	209.09
108126	550463	144.1
108207	555358	143.93
108317	538176	202.35
108509	565418	142.47
108514	416137	207.85
108609	570387	142.14
108609	630387	136.41
108609	635387	135.71
108609	640387	135.05
108609	645387	134.21
108609	650387	133.43
108609	655387	132.46
108609	660387	131.54
108681	665278	130.73
109144	575055	141.82
109153	540823	181.19
109697	545207	165.64
109888	668455	130.2
109990	419247	232.28
110072	562904	230.7
110090	547896	184.9
110109	552879	165.18
110137	557508	182.39
110250	552295	165.3
110267	550144	212.36
110305	560246	177.57
110385	579206	141.53
110529	555403	143.99
110723	424542	253.79
110860	564684	167.05
111028	563305	273.45
111052	551551	215.42
111403	450514	170.4
111591	557873	177.53
111723	568621	142.5
111914	563776	273.47
111978	451377	164.19
112294	628865	136.84
112410	433259	194.31
112664	459381	179.2
112822	554121	142.92
112863	566350	222.48
112871	422822	192.89
112871	572945	141.81
112901	417979	220.45
112940	577887	141.58
112940	632887	136.32
112940	637887	135.55
112940	642887	134.81
112940	647887	133.94
112940	652887	133.03
112940	657887	132.13
112940	662887	131.24
112957	667858	130.37
113112	448685	190.53
113128	568037	225.95
113284	556653	149.86
113476	414582	217.13
113620	497619	192.66
113701	495024	177.92
113701	582284	141.35
113729	500507	189.99
114138	671230	129.79
114198	461869	186.32
114308	425422	224.5
114655	396429	337.75
114748	571340	161.41
114768	495255	178.44
114844	503519	186.83
115062	508513	169.62
115064	499615	190.08
115182	502975	168.2
115248	396070	287.15
115731	548007	170.81
115788	571234	182.32
115803	460949	187.07
116126	567889	168.06
116246	461884	185.06
116372	510059	173.19
116441	576072	142
116521	631516	136.69
116542	566661	167.06
116947	580478	141.59
116978	504638	169.58
117046	499005	172.77
117094	415650	255.76
117158	424527	217.01
117226	418907	253.01
117235	503616	169.38
117270	555387	143.44
117270	635387	136.17
117270	640387	135.28
117270	645387	134.53
117270	650387	133.63
117270	655387	132.68
117270	660387	131.81
117270	665387	130.92
117270	670387	130.09
117375	585294	141.15
117398	550364	143.89
117466	463654	174.28
117588	501664	182.88
117738	574576	169.12
117926	559377	142.42
118160	546790	143.94
118316	673937	134.22
118655	589137	140.95
118689	498015	191.23
118713	497414	181.51
118794	418720	232.27
118826	509826	168.28
118968	573222	179.88
118969	496129	174.76
118989	416431	245.54
119025	577681	160.38
119064	579881	141.74
119223	463536	192.7
119450	577379	160.49
119516	576940	188.28
119622	509230	175.18
119636	422789	223.15
119684	563622	164.99
119734	502720	172.14
120141	425528	209.8
120165	418273	249.33
